Date,Day,Name,Type
01/01/2012,Sunday,New Year's Day,Public holiday
02/01/2012,Monday,New Year's Day observed,Public holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Public holiday
08/04/2012,Sunday,Easter Sunday,Observance
09/04/2012,Monday,Easter Monday,Public holiday
01/05/2012,Tuesday,Labour Day/May Day,Public holiday
13/05/2012,Sunday,Mother's Day,Observance
01/06/2012,Friday,Madaraka Day,Public holiday
21/06/2012,Thursday,June Solstice,Season
20/08/2012,Monday,Eid al-Fitr,Public holiday
22/09/2012,Saturday,September Equinox,Season
20/10/2012,Saturday,Mashujaa Day,Public holiday
12/12/2012,Wednesday,Jamhuri Day,Public holiday
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Christmas Eve,Observance
25/12/2012,Tuesday,Christmas Day,Public holiday
26/12/2012,Wednesday,Boxing Day,Public holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Public holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public holiday
31/03/2013,Sunday,Easter Sunday,Observance
01/04/2013,Monday,Easter Monday,Public holiday
01/05/2013,Wednesday,Labour Day/May Day,Public holiday
12/05/2013,Sunday,Mother's Day,Observance
01/06/2013,Saturday,Madaraka Day,Public holiday
21/06/2013,Friday,June Solstice,Season
09/08/2013,Friday,Eid al-Fitr,Public holiday
22/09/2013,Sunday,September Equinox,Season
20/10/2013,Sunday,Mashujaa Day,Public holiday
21/10/2013,Monday,Mashujaa Day observed,Public holiday
12/12/2013,Thursday,Jamhuri Day,Public holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Christmas Eve,Observance
25/12/2013,Wednesday,Christmas Day,Public holiday
26/12/2013,Thursday,Boxing Day,Public holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Public holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public holiday
20/04/2014,Sunday,Easter Sunday,Observance
21/04/2014,Monday,Easter Monday,Public holiday
01/05/2014,Thursday,Labour Day/May Day,Public holiday
11/05/2014,Sunday,Mother's Day,Observance
01/06/2014,Sunday,Madaraka Day,Public holiday
02/06/2014,Monday,Madaraka Day observed,Public holiday
21/06/2014,Saturday,June Solstice,Season
30/07/2014,Wednesday,Eid al-Fitr,Public holiday
23/09/2014,Tuesday,September Equinox,Season
20/10/2014,Monday,Mashujaa Day,Public holiday
12/12/2014,Friday,Jamhuri Day,Public holiday
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,Public holiday
26/12/2014,Friday,Boxing Day,Public holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Public holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public holiday
05/04/2015,Sunday,Easter Sunday,Observance
06/04/2015,Monday,Easter Monday,Public holiday
01/05/2015,Friday,Labour Day/May Day,Public holiday
10/05/2015,Sunday,Mother's Day,Observance
01/06/2015,Monday,Madaraka Day,Public holiday
21/06/2015,Sunday,June Solstice,Season
19/07/2015,Sunday,Eid al-Fitr,Public holiday
20/07/2015,Monday,Eid al-Fitr observed,Public holiday
23/09/2015,Wednesday,September Equinox,Season
20/10/2015,Tuesday,Mashujaa Day,Public holiday
26/11/2015,Thursday,Papal Visit 2015,Public holiday
12/12/2015,Saturday,Jamhuri Day,Public holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Christmas Eve,Observance
25/12/2015,Friday,Christmas Day,Public holiday
26/12/2015,Saturday,Boxing Day,Public holiday
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,Public holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public holiday
27/03/2016,Sunday,Easter Sunday,Observance
28/03/2016,Monday,Easter Monday,Public holiday
01/05/2016,Sunday,Labour Day/May Day,Public holiday
02/05/2016,Monday,Labour Day/May Day observed,Public holiday
08/05/2016,Sunday,Mother's Day,Observance
01/06/2016,Wednesday,Madaraka Day,Public holiday
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Public holiday
12/09/2016,Monday,Eid al-Adha,Optional Holiday
22/09/2016,Thursday,September Equinox,Season
20/10/2016,Thursday,Mashujaa Day,Public holiday
30/10/2016,Sunday,Diwali,Optional Holiday
12/12/2016,Monday,Jamhuri Day,Public holiday
21/12/2016,Wednesday,December Solstice,Season
24/12/2016,Saturday,Christmas Eve,Observance
25/12/2016,Sunday,Christmas Day,Public holiday
26/12/2016,Monday,Boxing Day,Public holiday
27/12/2016,Tuesday,Day off for Christmas Day,Public holiday
31/12/2016,Saturday,New Year's Eve,Observance
01/01/2017,Sunday,New Year's Day,Public holiday
02/01/2017,Monday,New Year's Day observed,Public holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public holiday
16/04/2017,Sunday,Easter Sunday,Observance
17/04/2017,Monday,Easter Monday,Public holiday
01/05/2017,Monday,Labour Day/May Day,Public holiday
14/05/2017,Sunday,Mother's Day,Observance
01/06/2017,Thursday,Madaraka Day,Public holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,Public holiday
02/09/2017,Saturday,Eid al-Adha,Optional Holiday
22/09/2017,Friday,September Equinox,Season
19/10/2017,Thursday,Diwali,Optional Holiday
20/10/2017,Friday,Mashujaa Day,Public holiday
12/12/2017,Tuesday,Jamhuri Day,Public holiday
21/12/2017,Thursday,December Solstice,Season
24/12/2017,Sunday,Christmas Eve,Observance
25/12/2017,Monday,Christmas Day,Public holiday
26/12/2017,Tuesday,Boxing Day,Public holiday
31/12/2017,Sunday,New Year's Eve,Observance
01/01/2018,Monday,New Year's Day,Public holiday
