Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
06/03/2000,Monday,National Heroes and Benefactors Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
22/05/2000,Monday,Day off for Commonwealth Day,Public Holiday
24/05/2000,Wednesday,Commonwealth Day,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
10/09/2000,Sunday,St. George's Caye Day,Public Holiday
11/09/2000,Monday,Day off for St. George's Caye Day,Public Holiday
21/09/2000,Thursday,Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
09/10/2000,Monday,Pan American Day,Public Holiday
19/11/2000,Sunday,Garifuna Settlement Day,Public Holiday
20/11/2000,Monday,Day off for Garifuna Settlement Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
12/03/2001,Monday,National Heroes and Benefactors Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
21/05/2001,Monday,Day off for Commonwealth Day,Public Holiday
24/05/2001,Thursday,Commonwealth Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
10/09/2001,Monday,St. George's Caye Day,Public Holiday
21/09/2001,Friday,Independence Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
15/10/2001,Monday,Pan American Day,Public Holiday
19/11/2001,Monday,Garifuna Settlement Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/03/2002,Monday,National Heroes and Benefactors Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
24/05/2002,Friday,Commonwealth Day,Public Holiday
27/05/2002,Monday,Day off for Commonwealth Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
10/09/2002,Tuesday,St. George's Caye Day,Public Holiday
21/09/2002,Saturday,Independence Day,Public Holiday
22/09/2002,Sunday,September Equinox,Season
14/10/2002,Monday,Pan American Day,Public Holiday
19/11/2002,Tuesday,Garifuna Settlement Day,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
10/03/2003,Monday,National Heroes and Benefactors Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
19/04/2003,Saturday,Holy Saturday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
24/05/2003,Saturday,Commonwealth Day,Public Holiday
26/05/2003,Monday,Day off for Commonwealth Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
10/09/2003,Wednesday,St. George's Caye Day,Public Holiday
21/09/2003,Sunday,Independence Day,Public Holiday
22/09/2003,Monday,Day off for Independence Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
