Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
03/01/2015,Saturday,The Prophet's Birthday,Public Holiday
20/03/2015,Friday,March Equinox,Season
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
08/05/2015,Friday,End of the Second World War,Public Holiday
10/05/2015,Sunday,Mother's Day,Observance
21/06/2015,Sunday,Father's Day,Observance
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
11/08/2015,Tuesday,Independence Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
01/11/2015,Sunday,All Saints' Day,Public Holiday
28/11/2015,Saturday,Proclamation of the Republic,Public Holiday
01/12/2015,Tuesday,Freedom and Democracy Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,Public Holiday
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/03/2016,Sunday,March Equinox,Season
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,May Day,Public Holiday
02/05/2016,Monday,May Day observed,Public Holiday
08/05/2016,Sunday,Mother's Day,Observance
08/05/2016,Sunday,End of the Second World War,Public Holiday
19/06/2016,Sunday,Father's Day,Observance
20/06/2016,Monday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
11/08/2016,Thursday,Independence Day,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
01/11/2016,Tuesday,All Saints' Day,Public Holiday
28/11/2016,Monday,Proclamation of the Republic,Public Holiday
01/12/2016,Thursday,Freedom and Democracy Day,Public Holiday
12/12/2016,Monday,The Prophet's Birthday,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
02/01/2017,Monday,New Year observed,Public Holiday
20/03/2017,Monday,March Equinox,Season
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,May Day,Public Holiday
08/05/2017,Monday,End of the Second World War,Public Holiday
14/05/2017,Sunday,Mother's Day,Observance
