Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,De facto holiday
06/01/2000,Thursday,Epiphany,De facto holiday
30/01/2000,Sunday,The Three Holy Hierarchs,Observance
14/02/2000,Monday,Valentine's Day,Observance
13/03/2000,Monday,Clean Monday,De facto holiday
20/03/2000,Monday,March Equinox,Season
25/03/2000,Saturday,Greek Independence Day,National holiday
25/03/2000,Saturday,Annunciation of the Virgin Mary,National holiday
28/04/2000,Friday,Orthodox Good Friday,De facto holiday
30/04/2000,Sunday,Orthodox Easter Sunday,Observance
01/05/2000,Monday,Labor Day / May Day,De facto holiday
01/05/2000,Monday,Orthodox Easter Monday,National holiday
14/05/2000,Sunday,Mother's Day,Observance
18/06/2000,Sunday,Father's Day,Observance
18/06/2000,Sunday,Orthodox Holy Spirit Sunday,Observance
19/06/2000,Monday,Orthodox Holy Spirit Monday,De facto holiday
21/06/2000,Wednesday,June Solstice,Season
24/07/2000,Monday,The Restoration of Democracy,Observance
15/08/2000,Tuesday,Dormition of the Holy Virgin,National holiday
22/09/2000,Friday,September Equinox,Season
28/10/2000,Saturday,The Ochi day,De facto holiday
17/11/2000,Friday,Polytechneio,Observance
21/11/2000,Tuesday,Armed Forces Day,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Synaxis of the Mother of God,De facto holiday
01/01/2001,Monday,New Year's Day,De facto holiday
06/01/2001,Saturday,Epiphany,De facto holiday
30/01/2001,Tuesday,The Three Holy Hierarchs,Observance
14/02/2001,Wednesday,Valentine's Day,Observance
26/02/2001,Monday,Clean Monday,De facto holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Greek Independence Day,National holiday
25/03/2001,Sunday,Annunciation of the Virgin Mary,National holiday
13/04/2001,Friday,Orthodox Good Friday,De facto holiday
15/04/2001,Sunday,Orthodox Easter Sunday,Observance
16/04/2001,Monday,Orthodox Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,De facto holiday
13/05/2001,Sunday,Mother's Day,Observance
03/06/2001,Sunday,Orthodox Holy Spirit Sunday,Observance
04/06/2001,Monday,Orthodox Holy Spirit Monday,De facto holiday
17/06/2001,Sunday,Father's Day,Observance
