Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,Public Holiday
08/03/2010,Monday,International Women's Day,National holiday
20/03/2010,Saturday,March Equinox,Season
29/03/2010,Monday,Martyrs' Day,Public Holiday
05/04/2010,Monday,Easter Monday,Public Holiday
01/05/2010,Saturday,Labor Day,Public Holiday
13/05/2010,Thursday,Ascension Day,Public Holiday
24/05/2010,Monday,Whit Monday,Public Holiday
21/06/2010,Monday,June Solstice,Season
26/06/2010,Saturday,Independence Day,Public Holiday
15/08/2010,Sunday,Assumption of Mary,Public Holiday
23/09/2010,Thursday,September Equinox,Season
01/11/2010,Monday,All Saints' Day,Public Holiday
17/11/2010,Wednesday,Eid al-Adha,Observance
22/12/2010,Wednesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,Public Holiday
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,Public Holiday
08/03/2011,Tuesday,International Women's Day,National holiday
21/03/2011,Monday,March Equinox,Season
29/03/2011,Tuesday,Martyrs' Day,Public Holiday
25/04/2011,Monday,Easter Monday,Public Holiday
01/05/2011,Sunday,Labor Day,Public Holiday
02/06/2011,Thursday,Ascension Day,Public Holiday
13/06/2011,Monday,Whit Monday,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
26/06/2011,Sunday,Independence Day,Public Holiday
15/08/2011,Monday,Assumption of Mary,Public Holiday
23/09/2011,Friday,September Equinox,Season
01/11/2011,Tuesday,All Saints' Day,Public Holiday
07/11/2011,Monday,Eid al-Adha,Observance
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,Public Holiday
08/03/2012,Thursday,International Women's Day,National holiday
20/03/2012,Tuesday,March Equinox,Season
29/03/2012,Thursday,Martyrs' Day,Public Holiday
09/04/2012,Monday,Easter Monday,Public Holiday
01/05/2012,Tuesday,Labor Day,Public Holiday
17/05/2012,Thursday,Ascension Day,Public Holiday
28/05/2012,Monday,Whit Monday,Public Holiday
21/06/2012,Thursday,June Solstice,Season
26/06/2012,Tuesday,Independence Day,Public Holiday
15/08/2012,Wednesday,Assumption of Mary,Public Holiday
22/09/2012,Saturday,September Equinox,Season
26/10/2012,Friday,Eid al-Adha,Observance
01/11/2012,Thursday,All Saints' Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,Public Holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Public Holiday
08/03/2013,Friday,International Women's Day,National holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Martyrs' Day,Public Holiday
01/04/2013,Monday,Easter Monday,Public Holiday
01/05/2013,Wednesday,Labor Day,Public Holiday
09/05/2013,Thursday,Ascension Day,Public Holiday
20/05/2013,Monday,Whit Monday,Public Holiday
21/06/2013,Friday,June Solstice,Season
26/06/2013,Wednesday,Independence Day,Public Holiday
15/08/2013,Thursday,Assumption of Mary,Public Holiday
22/09/2013,Sunday,September Equinox,Season
15/10/2013,Tuesday,Eid al-Adha,Observance
01/11/2013,Friday,All Saints' Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Public Holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Public Holiday
08/03/2014,Saturday,International Women's Day,National holiday
20/03/2014,Thursday,March Equinox,Season
29/03/2014,Saturday,Martyrs' Day,Public Holiday
21/04/2014,Monday,Easter Monday,Public Holiday
01/05/2014,Thursday,Labor Day,Public Holiday
