Date,Day,Name,Type
01/01/2014,Wednesday,New Year,Public Holiday
25/02/2014,Tuesday,Revolution Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,"Observance, Christian"
21/04/2014,Monday,Easter Monday,Public Holiday
01/05/2014,Thursday,Labor Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
01/07/2014,Tuesday,Freedom Day,Public Holiday
29/07/2014,Tuesday,Eid al-Fitr,Public Holiday
09/08/2014,Saturday,Indigenous Peoples Day,Public Holiday
22/09/2014,Monday,September Equinox,Season
05/10/2014,Sunday,Eid al-Adha,Public Holiday
10/10/2014,Friday,Day of the Maroons,Public Holiday
23/10/2014,Thursday,Diwali,Public Holiday
25/11/2014,Tuesday,Independence Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
19/02/2015,Thursday,Lunar New Year,Public Holiday
25/02/2015,Wednesday,Revolution Day,Public Holiday
06/03/2015,Friday,Holi Phagwa,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,"Observance, Christian"
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,Labor Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
01/07/2015,Wednesday,Freedom Day,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
09/08/2015,Sunday,Indigenous Peoples Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
10/10/2015,Saturday,Day of the Maroons,Public Holiday
11/11/2015,Wednesday,Diwali,Public Holiday
25/11/2015,Wednesday,Independence Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
