Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
26/01/2000,Wednesday,Liberation Day,Public Holiday
08/03/2000,Wednesday,International Women's Day,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
14/05/2000,Sunday,Mother's Day,Observance
03/06/2000,Saturday,Martyr's Day,Public Holiday
09/06/2000,Friday,National Heroes Day,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
21/06/2000,Wednesday,Father's Day,Observance
22/09/2000,Friday,September Equinox,Season
09/10/2000,Monday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
26/01/2001,Friday,Liberation Day,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
08/03/2001,Thursday,International Women's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
13/05/2001,Sunday,Mother's Day,Observance
03/06/2001,Sunday,Martyr's Day,Public Holiday
09/06/2001,Saturday,National Heroes Day,Public Holiday
21/06/2001,Thursday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
22/09/2001,Saturday,September Equinox,Season
09/10/2001,Tuesday,Independence Day,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
26/01/2002,Saturday,Liberation Day,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labour Day,Public Holiday
12/05/2002,Sunday,Mother's Day,Observance
03/06/2002,Monday,Martyr's Day,Public Holiday
09/06/2002,Sunday,National Heroes Day,Public Holiday
21/06/2002,Friday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
22/09/2002,Sunday,September Equinox,Season
09/10/2002,Wednesday,Independence Day,Public Holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
26/01/2003,Sunday,Liberation Day,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
08/03/2003,Saturday,International Women's Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labour Day,Public Holiday
11/05/2003,Sunday,Mother's Day,Observance
03/06/2003,Tuesday,Martyr's Day,Public Holiday
09/06/2003,Monday,National Heroes Day,Public Holiday
21/06/2003,Saturday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
23/09/2003,Tuesday,September Equinox,Season
09/10/2003,Thursday,Independence Day,Public Holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
26/01/2004,Monday,Liberation Day,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
08/03/2004,Monday,International Women's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
11/04/2004,Sunday,Easter Sunday,Observance
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,Labour Day,Public Holiday
09/05/2004,Sunday,Mother's Day,Observance
03/06/2004,Thursday,Martyr's Day,Public Holiday
09/06/2004,Wednesday,National Heroes Day,Public Holiday
20/06/2004,Sunday,June Solstice,Season
21/06/2004,Monday,Father's Day,Observance
22/09/2004,Wednesday,September Equinox,Season
09/10/2004,Saturday,Independence Day,Public Holiday
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
26/01/2005,Wednesday,Liberation Day,Public Holiday
08/03/2005,Tuesday,International Women's Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
27/03/2005,Sunday,Easter Sunday,Observance
28/03/2005,Monday,Easter Monday,Public Holiday
01/05/2005,Sunday,Labour Day,Public Holiday
08/05/2005,Sunday,Mother's Day,Observance
03/06/2005,Friday,Martyr's Day,Public Holiday
09/06/2005,Thursday,National Heroes Day,Public Holiday
21/06/2005,Tuesday,Father's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
22/09/2005,Thursday,September Equinox,Season
09/10/2005,Sunday,Independence Day,Public Holiday
04/11/2005,Friday,Eid al-Fitr,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Boxing Day,Public Holiday
01/01/2006,Sunday,New Year,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
26/01/2006,Thursday,Liberation Day,Public Holiday
08/03/2006,Wednesday,International Women's Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
14/04/2006,Friday,Good Friday,Public Holiday
16/04/2006,Sunday,Easter Sunday,Observance
17/04/2006,Monday,Easter Monday,Public Holiday
01/05/2006,Monday,Labour Day,Public Holiday
14/05/2006,Sunday,Mother's Day,Observance
03/06/2006,Saturday,Martyr's Day,Public Holiday
