Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
02/01/2000,Sunday,New Year (Day 2),Public Holiday
01/02/2000,Tuesday,Abolition of Slavery,Public Holiday
03/02/2000,Thursday,Thaipoosam Cavadee,Public Holiday
19/02/2000,Saturday,Chinese Spring Festival,Public Holiday
12/03/2000,Sunday,National Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
01/05/2000,Monday,Labour Day,Public Holiday
28/05/2000,Sunday,Mother's Day,Observance
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
22/09/2000,Friday,September Equinox,Season
02/11/2000,Thursday,Arrival of Indentured Labourers,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
02/01/2001,Tuesday,New Year (Day 2),Public Holiday
01/02/2001,Thursday,Abolition of Slavery,Public Holiday
03/02/2001,Saturday,Thaipoosam Cavadee,Public Holiday
19/02/2001,Monday,Chinese Spring Festival,Public Holiday
12/03/2001,Monday,National Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
01/05/2001,Tuesday,Labour Day,Public Holiday
27/05/2001,Sunday,Mother's Day,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
01/11/2001,Thursday,All Saints Day,Public Holiday
02/11/2001,Friday,Arrival of Indentured Labourers,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
02/01/2002,Wednesday,New Year (Day 2),Public Holiday
01/02/2002,Friday,Abolition of Slavery,Public Holiday
03/02/2002,Sunday,Thaipoosam Cavadee,Public Holiday
19/02/2002,Tuesday,Chinese Spring Festival,Public Holiday
12/03/2002,Tuesday,National Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
01/05/2002,Wednesday,Labour Day,Public Holiday
26/05/2002,Sunday,Mother's Day,Observance
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
15/08/2002,Thursday,Assumption of Mary,Public Holiday
23/09/2002,Monday,September Equinox,Season
02/11/2002,Saturday,Arrival of Indentured Labourers,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
02/01/2003,Thursday,New Year (Day 2),Public Holiday
01/02/2003,Saturday,Abolition of Slavery,Public Holiday
03/02/2003,Monday,Thaipoosam Cavadee,Public Holiday
19/02/2003,Wednesday,Chinese Spring Festival,Public Holiday
12/03/2003,Wednesday,National Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,Labour Day,Public Holiday
25/05/2003,Sunday,Mother's Day,Observance
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
23/09/2003,Tuesday,September Equinox,Season
01/11/2003,Saturday,All Saints Day,Public Holiday
02/11/2003,Sunday,Arrival of Indentured Labourers,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
02/01/2004,Friday,New Year (Day 2),Public Holiday
01/02/2004,Sunday,Abolition of Slavery,Public Holiday
03/02/2004,Tuesday,Thaipoosam Cavadee,Public Holiday
19/02/2004,Thursday,Chinese Spring Festival,Public Holiday
12/03/2004,Friday,National Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,Labour Day,Public Holiday
30/05/2004,Sunday,Mother's Day,Observance
20/06/2004,Sunday,Father's Day,Observance
21/06/2004,Monday,June Solstice,Season
15/08/2004,Sunday,Assumption of Mary,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
02/11/2004,Tuesday,Arrival of Indentured Labourers,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
02/01/2005,Sunday,New Year (Day 2),Public Holiday
01/02/2005,Tuesday,Abolition of Slavery,Public Holiday
03/02/2005,Thursday,Thaipoosam Cavadee,Public Holiday
19/02/2005,Saturday,Chinese Spring Festival,Public Holiday
12/03/2005,Saturday,National Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
01/05/2005,Sunday,Labour Day,Public Holiday
29/05/2005,Sunday,Mother's Day,Observance
19/06/2005,Sunday,Father's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
23/09/2005,Friday,September Equinox,Season
01/11/2005,Tuesday,All Saints Day,Public Holiday
02/11/2005,Wednesday,Arrival of Indentured Labourers,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
01/01/2006,Sunday,New Year,Public Holiday
02/01/2006,Monday,New Year (Day 2),Public Holiday
01/02/2006,Wednesday,Abolition of Slavery,Public Holiday
03/02/2006,Friday,Thaipoosam Cavadee,Public Holiday
19/02/2006,Sunday,Chinese Spring Festival,Public Holiday
12/03/2006,Sunday,National Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
01/05/2006,Monday,Labour Day,Public Holiday
28/05/2006,Sunday,Mother's Day,Observance
18/06/2006,Sunday,Father's Day,Observance
21/06/2006,Wednesday,June Solstice,Season
15/08/2006,Tuesday,Assumption of Mary,Public Holiday
23/09/2006,Saturday,September Equinox,Season
02/11/2006,Thursday,Arrival of Indentured Labourers,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
02/01/2007,Tuesday,New Year (Day 2),Public Holiday
01/02/2007,Thursday,Abolition of Slavery,Public Holiday
03/02/2007,Saturday,Thaipoosam Cavadee,Public Holiday
19/02/2007,Monday,Chinese Spring Festival,Public Holiday
12/03/2007,Monday,National Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
01/05/2007,Tuesday,Labour Day,Public Holiday
27/05/2007,Sunday,Mother's Day,Observance
17/06/2007,Sunday,Father's Day,Observance
21/06/2007,Thursday,June Solstice,Season
23/09/2007,Sunday,September Equinox,Season
01/11/2007,Thursday,All Saints Day,Public Holiday
02/11/2007,Friday,Arrival of Indentured Labourers,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
01/01/2008,Tuesday,New Year,Public Holiday
02/01/2008,Wednesday,New Year (Day 2),Public Holiday
01/02/2008,Friday,Abolition of Slavery,Public Holiday
03/02/2008,Sunday,Thaipoosam Cavadee,Public Holiday
19/02/2008,Tuesday,Chinese Spring Festival,Public Holiday
05/03/2008,Wednesday,Maha Shivaratri,Hindu Holiday
12/03/2008,Wednesday,National Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
22/03/2008,Saturday,Holi,Hindu Holiday
01/05/2008,Thursday,Labour Day,Public Holiday
25/05/2008,Sunday,Mother's Day,Observance
15/06/2008,Sunday,Father's Day,Observance
21/06/2008,Saturday,June Solstice,Season
15/08/2008,Friday,Assumption of Mary,Public Holiday
16/08/2008,Saturday,Raksha Bandhan,Hindu Holiday
24/08/2008,Sunday,Janmashtami,Hindu Holiday
03/09/2008,Wednesday,Ganesh Chaturthi,Hindu Holiday
22/09/2008,Monday,September Equinox,Season
09/10/2008,Thursday,Dussehra,Hindu Holiday
02/11/2008,Sunday,Arrival of Indentured Labourers,Public Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Christmas Day,Public Holiday
01/01/2009,Thursday,New Year,Public Holiday
02/01/2009,Friday,New Year (Day 2),Public Holiday
01/02/2009,Sunday,Abolition of Slavery,Public Holiday
03/02/2009,Tuesday,Thaipoosam Cavadee,Public Holiday
19/02/2009,Thursday,Chinese Spring Festival,Public Holiday
22/02/2009,Sunday,Maha Shivaratri,Hindu Holiday
11/03/2009,Wednesday,Holi,Hindu Holiday
12/03/2009,Thursday,National Day,Public Holiday
20/03/2009,Friday,March Equinox,Season
01/05/2009,Friday,Labour Day,Public Holiday
31/05/2009,Sunday,Mother's Day,Observance
21/06/2009,Sunday,Father's Day,Observance
21/06/2009,Sunday,June Solstice,Season
05/08/2009,Wednesday,Raksha Bandhan,Hindu Holiday
13/08/2009,Thursday,Janmashtami,Hindu Holiday
23/08/2009,Sunday,Ganesh Chaturthi,Hindu Holiday
23/09/2009,Wednesday,September Equinox,Season
28/09/2009,Monday,Dussehra,Hindu Holiday
01/11/2009,Sunday,All Saints Day,Public Holiday
02/11/2009,Monday,Arrival of Indentured Labourers,Public Holiday
21/12/2009,Monday,December Solstice,Season
25/12/2009,Friday,Christmas Day,Public Holiday
01/01/2010,Friday,New Year,Public Holiday
02/01/2010,Saturday,New Year (Day 2),Public Holiday
01/02/2010,Monday,Abolition of Slavery,Public Holiday
03/02/2010,Wednesday,Thaipoosam Cavadee,Public Holiday
12/02/2010,Friday,Maha Shivaratree,Public Holiday
19/02/2010,Friday,Chinese Spring Festival,Public Holiday
28/02/2010,Sunday,Holi,Hindu Holiday
12/03/2010,Friday,National Day,Public Holiday
20/03/2010,Saturday,March Equinox,Season
01/05/2010,Saturday,Labour Day,Public Holiday
30/05/2010,Sunday,Mother's Day,Observance
20/06/2010,Sunday,Father's Day,Observance
21/06/2010,Monday,June Solstice,Season
15/08/2010,Sunday,Assumption of Mary,Public Holiday
24/08/2010,Tuesday,Raksha Bandhan,Hindu Holiday
01/09/2010,Wednesday,Janmashtami,Hindu Holiday
11/09/2010,Saturday,Ganesh Chaturthi,Hindu Holiday
23/09/2010,Thursday,September Equinox,Season
16/10/2010,Saturday,Dussehra,Hindu Holiday
02/11/2010,Tuesday,Arrival of Indentured Labourers,Public Holiday
22/12/2010,Wednesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,Public Holiday
01/01/2011,Saturday,New Year,Public Holiday
02/01/2011,Sunday,New Year (Day 2),Public Holiday
01/02/2011,Tuesday,Abolition of Slavery,Public Holiday
03/02/2011,Thursday,Thaipoosam Cavadee,Public Holiday
19/02/2011,Saturday,Chinese Spring Festival,Public Holiday
02/03/2011,Wednesday,Maha Shivaratree,Public Holiday
12/03/2011,Saturday,National Day,Public Holiday
20/03/2011,Sunday,Holi,Hindu Holiday
21/03/2011,Monday,March Equinox,Season
01/05/2011,Sunday,Labour Day,Public Holiday
29/05/2011,Sunday,Mother's Day,Observance
19/06/2011,Sunday,Father's Day,Observance
21/06/2011,Tuesday,June Solstice,Season
13/08/2011,Saturday,Raksha Bandhan,Hindu Holiday
22/08/2011,Monday,Janmashtami,Hindu Holiday
01/09/2011,Thursday,Ganesh Chaturthi,Hindu Holiday
