Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
25/02/2000,Friday,Choiseul Province Day,Local holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
02/06/2000,Friday,Isabel Province Day,Local holiday
08/06/2000,Thursday,Temotu Province Day,Local holiday
09/06/2000,Friday,Day off for Queen's Official Birthday,Public Holiday
10/06/2000,Saturday,Queen's Official Birthday,Observance
12/06/2000,Monday,Whit Monday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
29/06/2000,Thursday,Central Province Day,Local holiday
07/07/2000,Friday,Independence Day,Public Holiday
20/07/2000,Thursday,Rennell and Bellona Province Day,Local holiday
01/08/2000,Tuesday,Gualdalcanal Province Day,Local holiday
03/08/2000,Thursday,Makira-Ulawa Province Day,Local holiday
15/08/2000,Tuesday,Malaita Province Day,Local holiday
23/09/2000,Saturday,September Equinox,Season
07/12/2000,Thursday,Western Province Day,Local holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,National Day of Thanksgiving,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
25/02/2001,Sunday,Choiseul Province Day,Local holiday
26/02/2001,Monday,Choiseul Province Day observed,Local holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
02/06/2001,Saturday,Isabel Province Day,Local holiday
04/06/2001,Monday,Whit Monday,Public Holiday
08/06/2001,Friday,Day off for Queen's Official Birthday,Public Holiday
08/06/2001,Friday,Temotu Province Day,Local holiday
09/06/2001,Saturday,Queen's Official Birthday,Observance
21/06/2001,Thursday,June Solstice,Season
29/06/2001,Friday,Central Province Day,Local holiday
06/07/2001,Friday,Day off for Independence Day,Public Holiday
07/07/2001,Saturday,Independence Day,Public Holiday
20/07/2001,Friday,Rennell and Bellona Province Day,Local holiday
01/08/2001,Wednesday,Gualdalcanal Province Day,Local holiday
03/08/2001,Friday,Makira-Ulawa Province Day,Local holiday
15/08/2001,Wednesday,Malaita Province Day,Local holiday
23/09/2001,Sunday,September Equinox,Season
07/12/2001,Friday,Western Province Day,Local holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,National Day of Thanksgiving,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
25/02/2002,Monday,Choiseul Province Day,Local holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
02/06/2002,Sunday,Isabel Province Day,Local holiday
03/06/2002,Monday,Day off for Isabel Province Day,Local holiday
07/06/2002,Friday,Day off for Queen's Official Birthday,Public Holiday
07/06/2002,Friday,Day off for Temotu Province Day,Local holiday
08/06/2002,Saturday,Queen's Official Birthday,Observance
08/06/2002,Saturday,Temotu Province Day,Local holiday
22/06/2002,Saturday,June Solstice,Season
28/06/2002,Friday,Day off for Central Province Day,Local holiday
29/06/2002,Saturday,Central Province Day,Local holiday
07/07/2002,Sunday,Independence Day,Public Holiday
08/07/2002,Monday,Day off for Independence Day,Public Holiday
19/07/2002,Friday,Day off for Rennell and Bellona Province Day,Local holiday
20/07/2002,Saturday,Rennell and Bellona Province Day,Local holiday
01/08/2002,Thursday,Gualdalcanal Province Day,Local holiday
02/08/2002,Friday,Day off for Makira-Ulawa Province Day,Local holiday
03/08/2002,Saturday,Makira-Ulawa Province Day,Local holiday
15/08/2002,Thursday,Malaita Province Day,Local holiday
