Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
30/04/2000,Sunday,Queen's Birthday,Public Holiday
04/05/2000,Thursday,Remembrance Day,Observance
05/05/2000,Friday,Liberation Day,Public Holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Public Holiday
11/06/2000,Sunday,Whit Sunday,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,Keti Koti,Observance
22/09/2000,Friday,September Equinox,Season
05/12/2000,Tuesday,St Nicholas' Eve/Sinterklaas,Observance
06/12/2000,Wednesday,St Nicholas' Day,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Second Day of Christmas,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
14/02/2001,Wednesday,Valentine's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
30/04/2001,Monday,Queen's Birthday,Public Holiday
04/05/2001,Friday,Remembrance Day,Observance
05/05/2001,Saturday,Liberation Day,Public Sector
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,Public Holiday
03/06/2001,Sunday,Whit Sunday,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
01/07/2001,Sunday,Keti Koti,Observance
23/09/2001,Sunday,September Equinox,Season
05/12/2001,Wednesday,St Nicholas' Eve/Sinterklaas,Observance
06/12/2001,Thursday,St Nicholas' Day,Observance
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Second Day of Christmas,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
14/02/2002,Thursday,Valentine's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
30/04/2002,Tuesday,Queen's Birthday,Public Holiday
04/05/2002,Saturday,Remembrance Day,Observance
05/05/2002,Sunday,Liberation Day,Public Sector
09/05/2002,Thursday,Ascension Day,Public Holiday
12/05/2002,Sunday,Mother's Day,Observance
19/05/2002,Sunday,Whit Sunday,Public Holiday
