Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,Day off for New Year's Day,Public Holiday
13/03/2000,Monday,Commonwealth Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
15/05/2000,Monday,Gospel Day,Public Holiday
10/06/2000,Saturday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
07/08/2000,Monday,National Children's Day,Public Holiday
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,Tuvalu Day,Public Holiday
02/10/2000,Monday,Day off for Tuvalu Day,Public Holiday
02/10/2000,Monday,Tuvalu Day Holiday,Public Holiday
03/10/2000,Tuesday,Day off for Tuvalu Day Holiday,Public Holiday
13/11/2000,Monday,Heir to the Throne's Birthday,Public Holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
12/03/2001,Monday,Commonwealth Day,Public Holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
14/05/2001,Monday,Gospel Day,Public Holiday
09/06/2001,Saturday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,National Children's Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Tuvalu Day,Public Holiday
02/10/2001,Tuesday,Tuvalu Day Holiday,Public Holiday
12/11/2001,Monday,Heir to the Throne's Birthday,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/03/2002,Monday,Commonwealth Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,Public Holiday
13/05/2002,Monday,Gospel Day,Public Holiday
08/06/2002,Saturday,Queen Elizabeth II's Birthday,Public Holiday
22/06/2002,Saturday,June Solstice,Season
05/08/2002,Monday,National Children's Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Tuvalu Day,Public Holiday
02/10/2002,Wednesday,Tuvalu Day Holiday,Public Holiday
11/11/2002,Monday,Heir to the Throne's Birthday,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
10/03/2003,Monday,Commonwealth Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,Public Holiday
12/05/2003,Monday,Gospel Day,Public Holiday
14/06/2003,Saturday,Queen Elizabeth II's Birthday,Public Holiday
22/06/2003,Sunday,June Solstice,Season
04/08/2003,Monday,National Children's Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,Tuvalu Day,Public Holiday
02/10/2003,Thursday,Tuvalu Day Holiday,Public Holiday
10/11/2003,Monday,Heir to the Throne's Birthday,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
08/03/2004,Monday,Commonwealth Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
11/04/2004,Sunday,Easter Sunday,Observance
12/04/2004,Monday,Easter Monday,Public Holiday
10/05/2004,Monday,Gospel Day,Public Holiday
12/06/2004,Saturday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2004,Monday,June Solstice,Season
02/08/2004,Monday,National Children's Day,Public Holiday
23/09/2004,Thursday,September Equinox,Season
01/10/2004,Friday,Tuvalu Day,Public Holiday
02/10/2004,Saturday,Tuvalu Day Holiday,Public Holiday
04/10/2004,Monday,Day off for Tuvalu Day Holiday,Public Holiday
08/11/2004,Monday,Heir to the Throne's Birthday,Public Holiday
22/12/2004,Wednesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
27/12/2004,Monday,Day off for Christmas Day,Public Holiday
28/12/2004,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
03/01/2005,Monday,Day off for New Year's Day,Public Holiday
14/03/2005,Monday,Commonwealth Day,Public Holiday
