Date,Day,Name,Type
01/01/2012,Sunday,New Year's Day,Public holiday
02/01/2012,Monday,New Year Holiday,Public holiday
03/01/2012,Tuesday,Day off for New Year's Day,Public holiday
07/01/2012,Saturday,Orthodox Christmas Day,Public holiday
08/03/2012,Thursday,International Women's Day,Public holiday
20/03/2012,Tuesday,March Equinox,Season
21/03/2012,Wednesday,Nauryz,Public holiday
22/03/2012,Thursday,Nauryz Holiday,Public holiday
23/03/2012,Friday,Nauryz Holiday,Public holiday
01/05/2012,Tuesday,Unity Day,Public holiday
09/05/2012,Wednesday,Victory Day,Public holiday
21/06/2012,Thursday,June Solstice,Season
06/07/2012,Friday,Day of the Capital,Public holiday
30/08/2012,Thursday,Constitution Day,Public holiday
22/09/2012,Saturday,September Equinox,Season
26/10/2012,Friday,Kurban Ait,Public holiday
01/12/2012,Saturday,Day of the First President of the Republic of Kazakhstan,Public holiday
03/12/2012,Monday,Day off for Day of the First President of the Republic of Kazakhstan,Public holiday
16/12/2012,Sunday,Independence Day,Public holiday
17/12/2012,Monday,Independence Day observed,Public holiday
17/12/2012,Monday,Independence Day Holiday,Public holiday
21/12/2012,Friday,December Solstice,Season
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Public holiday
02/01/2013,Wednesday,New Year Holiday,Public holiday
07/01/2013,Monday,Orthodox Christmas Day,Public holiday
08/03/2013,Friday,International Women's Day,Public holiday
20/03/2013,Wednesday,March Equinox,Season
21/03/2013,Thursday,Nauryz,Public holiday
22/03/2013,Friday,Nauryz Holiday,Public holiday
23/03/2013,Saturday,Nauryz Holiday,Public holiday
25/03/2013,Monday,Nauryz Holiday observed,Public holiday
01/05/2013,Wednesday,Unity Day,Public holiday
07/05/2013,Tuesday,Defender of the Fatherland Day,Public holiday
09/05/2013,Thursday,Victory Day,Public holiday
10/05/2013,Friday,One-off Public Holiday,Public holiday
21/06/2013,Friday,June Solstice,Season
06/07/2013,Saturday,Day of the Capital,Public holiday
08/07/2013,Monday,Day off for Day of the Capital,Public holiday
