Date,Day,Name,Type
14/01/2014,Tuesday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
14/01/2014,Tuesday,Tamil Thai Pongal Day,Public Holiday
15/01/2014,Wednesday,Duruthu Full Moon Poya Day,Public Holiday
04/02/2014,Tuesday,National Day,Public Holiday
14/02/2014,Friday,Navam Full Moon Poya Day,Public Holiday
14/02/2014,Friday,Valentine's Day,Observance
27/02/2014,Thursday,Mahasivarathri Day,Public Holiday
16/03/2014,Sunday,Madin Full Moon Poya Day,Public Holiday
16/03/2014,Sunday,Adhi Madin Full Moon Poya Day,Public Holiday
17/03/2014,Monday,Holi,Hindu Holiday
20/03/2014,Thursday,March Equinox,Season
13/04/2014,Sunday,Sinhala and Tamil New Year's Eve,Public Holiday
14/04/2014,Monday,Bak Full Moon Poya Day,Public Holiday
14/04/2014,Monday,Sinhala and Tamil New Year's Day,Public Holiday
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Observance
01/05/2014,Thursday,May Day,Public Holiday
11/05/2014,Sunday,Mother's Day,Observance
14/05/2014,Wednesday,Vesak Full Moon Poya Day,Public Holiday
15/05/2014,Thursday,Day after Vesak Full Moon Poya Day,Public Holiday
12/06/2014,Thursday,Poson Full Moon Poya Day,Public Holiday
15/06/2014,Sunday,Father's Day,Observance
21/06/2014,Saturday,June Solstice,Season
12/07/2014,Saturday,Esala Full Moon Poya Day,Public Holiday
29/07/2014,Tuesday,Eid al-Fitr,Public Holiday
10/08/2014,Sunday,Raksha Bandhan,Hindu Holiday
10/08/2014,Sunday,Nikini Full Moon Poya Day,Public Holiday
17/08/2014,Sunday,Janmashtami,Hindu Holiday
29/08/2014,Friday,Ganesh Chaturthi,Hindu Holiday
08/09/2014,Monday,Binara Full Moon Poya Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
25/09/2014,Thursday,First Day of Navaratri,Hindu Holiday
03/10/2014,Friday,Dussehra,Hindu Holiday
05/10/2014,Sunday,Eid al-Adha,Public Holiday
08/10/2014,Wednesday,Vap Full Moon Poya Day,Public Holiday
22/10/2014,Wednesday,Deepavali,Public Holiday
06/11/2014,Thursday,Ill Full Moon Poya Day,Public Holiday
06/12/2014,Saturday,Unduvap Full Moon Poya Day,Public Holiday
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,Public Holiday
03/01/2015,Saturday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
04/01/2015,Sunday,Duruthu Full Moon Poya Day,Public Holiday
04/01/2015,Sunday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
14/01/2015,Wednesday,Special Public Holiday,Public Holiday
15/01/2015,Thursday,Tamil Thai Pongal Day,Public Holiday
03/02/2015,Tuesday,Navam Full Moon Poya Day,Public Holiday
04/02/2015,Wednesday,National Day,Public Holiday
14/02/2015,Saturday,Valentine's Day,Observance
17/02/2015,Tuesday,Mahasivarathri Day,Public Holiday
05/03/2015,Thursday,Madin Full Moon Poya Day,Public Holiday
05/03/2015,Thursday,Adhi Madin Full Moon Poya Day,Public Holiday
06/03/2015,Friday,Holi,Hindu Holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Bak Full Moon Poya Day,Public Holiday
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Observance
13/04/2015,Monday,Sinhala and Tamil New Year's Eve,Public Holiday
14/04/2015,Tuesday,Sinhala and Tamil New Year's Day,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
03/05/2015,Sunday,Vesak Full Moon Poya Day,Public Holiday
04/05/2015,Monday,Day after Vesak Full Moon Poya Day,Public Holiday
10/05/2015,Sunday,Mother's Day,Observance
02/06/2015,Tuesday,Poson Full Moon Poya Day,Public Holiday
21/06/2015,Sunday,Father's Day,Observance
21/06/2015,Sunday,June Solstice,Season
01/07/2015,Wednesday,Esala Full Moon Poya Day,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
29/08/2015,Saturday,Raksha Bandhan,Hindu Holiday
29/08/2015,Saturday,Nikini Full Moon Poya Day,Public Holiday
05/09/2015,Saturday,Janmashtami,Hindu Holiday
17/09/2015,Thursday,Ganesh Chaturthi,Hindu Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
27/09/2015,Sunday,Binara Full Moon Poya Day,Public Holiday
14/10/2015,Wednesday,First Day of Navaratri,Hindu Holiday
22/10/2015,Thursday,Dussehra,Hindu Holiday
27/10/2015,Tuesday,Vap Full Moon Poya Day,Public Holiday
10/11/2015,Tuesday,Deepavali,Public Holiday
25/11/2015,Wednesday,Ill Full Moon Poya Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
24/12/2015,Thursday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
