Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Regular Holiday
08/01/2000,Saturday,Eidul-Fitar,Common local holiday
05/02/2000,Saturday,Lunar New Year's Day,Observance
25/02/2000,Friday,People Power Anniversary,Special Non-working Holiday
16/03/2000,Thursday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Amun Jadid,"Muslim, Common local holiday"
09/04/2000,Sunday,The Day of Valor,Regular Holiday
20/04/2000,Thursday,Maundy Thursday,Regular Holiday
21/04/2000,Friday,Good Friday,Regular Holiday
22/04/2000,Saturday,Black Saturday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
01/05/2000,Monday,Labor Day,Regular Holiday
12/06/2000,Monday,Independence Day,Regular Holiday
15/06/2000,Thursday,Maulid un-Nabi,Common local holiday
21/06/2000,Wednesday,June Solstice,Season
28/08/2000,Monday,National Heroes Day,Regular Holiday
23/09/2000,Saturday,September Equinox,Season
26/10/2000,Thursday,Lailatul Isra Wal Mi Raj,Common local holiday
01/11/2000,Wednesday,All Saints' Day,Special Non-working Holiday
02/11/2000,Thursday,All Souls' Day,Observance
30/11/2000,Thursday,Bonifacio Day,Regular Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Regular Holiday
28/12/2000,Thursday,Eidul-Fitar,Common local holiday
30/12/2000,Saturday,Rizal Day,Regular Holiday
31/12/2000,Sunday,New Year's Eve,Special Non-working Holiday
01/01/2001,Monday,New Year's Day,Regular Holiday
24/01/2001,Wednesday,Lunar New Year's Day,Observance
25/02/2001,Sunday,People Power Anniversary,Special Non-working Holiday
06/03/2001,Tuesday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Amun Jadid,"Muslim, Common local holiday"
09/04/2001,Monday,The Day of Valor,Regular Holiday
12/04/2001,Thursday,Maundy Thursday,Regular Holiday
13/04/2001,Friday,Good Friday,Regular Holiday
14/04/2001,Saturday,Black Saturday,Observance
15/04/2001,Sunday,Easter Sunday,Observance
30/04/2001,Monday,Labor Day,Regular Holiday
04/06/2001,Monday,Maulid un-Nabi,Common local holiday
12/06/2001,Tuesday,Independence Day,Regular Holiday
21/06/2001,Thursday,June Solstice,Season
27/08/2001,Monday,National Heroes Day,Regular Holiday
23/09/2001,Sunday,September Equinox,Season
15/10/2001,Monday,Lailatul Isra Wal Mi Raj,Common local holiday
01/11/2001,Thursday,All Saints' Day,Special Non-working Holiday
02/11/2001,Friday,All Souls' Day,Observance
30/11/2001,Friday,Bonifacio Day,Regular Holiday
17/12/2001,Monday,Eidul-Fitar,Common local holiday
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,Regular Holiday
30/12/2001,Sunday,Rizal Day,Regular Holiday
31/12/2001,Monday,New Year's Eve,Special Non-working Holiday
01/01/2002,Tuesday,New Year's Day,Regular Holiday
12/02/2002,Tuesday,Lunar New Year's Day,Observance
23/02/2002,Saturday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
25/02/2002,Monday,People Power Anniversary,Special Non-working Holiday
15/03/2002,Friday,Amun Jadid,"Muslim, Common local holiday"
21/03/2002,Thursday,March Equinox,Season
28/03/2002,Thursday,Maundy Thursday,Regular Holiday
29/03/2002,Friday,Good Friday,Regular Holiday
30/03/2002,Saturday,Black Saturday,Observance
31/03/2002,Sunday,Easter Sunday,Observance
09/04/2002,Tuesday,The Day of Valor,Regular Holiday
29/04/2002,Monday,Labor Day,Regular Holiday
24/05/2002,Friday,Maulid un-Nabi,Common local holiday
12/06/2002,Wednesday,Independence Day,Regular Holiday
21/06/2002,Friday,June Solstice,Season
26/08/2002,Monday,National Heroes Day,Regular Holiday
23/09/2002,Monday,September Equinox,Season
04/10/2002,Friday,Lailatul Isra Wal Mi Raj,Common local holiday
01/11/2002,Friday,All Saints' Day,Special Non-working Holiday
02/11/2002,Saturday,All Souls' Day,Observance
30/11/2002,Saturday,Bonifacio Day,Regular Holiday
06/12/2002,Friday,Eidul-Fitar,Common local holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,Regular Holiday
30/12/2002,Monday,Rizal Day,Regular Holiday
31/12/2002,Tuesday,New Year's Eve,Special Non-working Holiday
01/01/2003,Wednesday,New Year's Day,Regular Holiday
01/02/2003,Saturday,Lunar New Year's Day,Observance
12/02/2003,Wednesday,Eid al-Adha (Feast of the Sacrifice),Common local holiday
25/02/2003,Tuesday,People Power Anniversary,Special Non-working Holiday
05/03/2003,Wednesday,Amun Jadid,"Muslim, Common local holiday"
21/03/2003,Friday,March Equinox,Season
09/04/2003,Wednesday,The Day of Valor,Regular Holiday
17/04/2003,Thursday,Maundy Thursday,Regular Holiday
18/04/2003,Friday,Good Friday,Regular Holiday
19/04/2003,Saturday,Black Saturday,Observance
20/04/2003,Sunday,Easter Sunday,Observance
28/04/2003,Monday,Labor Day,Regular Holiday
14/05/2003,Wednesday,Maulid un-Nabi,Common local holiday
12/06/2003,Thursday,Independence Day,Regular Holiday
22/06/2003,Sunday,June Solstice,Season
25/08/2003,Monday,National Heroes Day,Regular Holiday
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Lailatul Isra Wal Mi Raj,Common local holiday
01/11/2003,Saturday,All Saints' Day,Special Non-working Holiday
