Date,Day,Name,Type
01/01/2008,Tuesday,New Year's Day,Public Holiday
10/01/2008,Thursday,Muharram/Islamic New Year,Public Holiday
20/03/2008,Thursday,Milad un Nabi (Mawlid),Public Holiday
20/03/2008,Thursday,March Equinox,Season
01/05/2008,Thursday,Labor Day / May Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
26/07/2008,Saturday,Independence Day,Public Holiday
27/07/2008,Sunday,Independence Day Holiday,Public Holiday
02/09/2008,Tuesday,Ramadan Start,Public Holiday
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid-ul-Fithr,Public Holiday
03/10/2008,Friday,Eid-ul-Fithr Holiday,Public Holiday
04/10/2008,Saturday,Eid-ul-Fithr Holiday,Public Holiday
03/11/2008,Monday,Victory Day,Public Holiday
11/11/2008,Tuesday,Republic Day,Public Holiday
08/12/2008,Monday,Hajj Day,Public Holiday
09/12/2008,Tuesday,Eid-ul Al'haa,Public Holiday
21/12/2008,Sunday,December Solstice,Season
29/12/2008,Monday,Muharram/Islamic New Year,Public Holiday
01/01/2009,Thursday,New Year's Day,Public Holiday
09/03/2009,Monday,Milad un Nabi (Mawlid),Public Holiday
20/03/2009,Friday,March Equinox,Season
01/05/2009,Friday,Labor Day / May Day,Public Holiday
21/06/2009,Sunday,June Solstice,Season
26/07/2009,Sunday,Independence Day,Public Holiday
27/07/2009,Monday,Independence Day Holiday,Public Holiday
22/08/2009,Saturday,Ramadan Start,Public Holiday
21/09/2009,Monday,Eid-ul-Fithr,Public Holiday
22/09/2009,Tuesday,Eid-ul-Fithr Holiday,Public Holiday
23/09/2009,Wednesday,Eid-ul-Fithr Holiday,Public Holiday
23/09/2009,Wednesday,September Equinox,Season
03/11/2009,Tuesday,Victory Day,Public Holiday
11/11/2009,Wednesday,Republic Day,Public Holiday
27/11/2009,Friday,Hajj Day,Public Holiday
28/11/2009,Saturday,Eid-ul Al'haa,Public Holiday
18/12/2009,Friday,Muharram/Islamic New Year,Public Holiday
21/12/2009,Monday,December Solstice,Season
01/01/2010,Friday,New Year's Day,Public Holiday
26/02/2010,Friday,Milad un Nabi (Mawlid),Public Holiday
20/03/2010,Saturday,March Equinox,Season
01/05/2010,Saturday,Labor Day / May Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
26/07/2010,Monday,Independence Day,Public Holiday
27/07/2010,Tuesday,Independence Day Holiday,Public Holiday
11/08/2010,Wednesday,Ramadan Start,Public Holiday
10/09/2010,Friday,Eid-ul-Fithr,Public Holiday
11/09/2010,Saturday,Eid-ul-Fithr Holiday,Public Holiday
12/09/2010,Sunday,Eid-ul-Fithr Holiday,Public Holiday
23/09/2010,Thursday,September Equinox,Season
03/11/2010,Wednesday,Victory Day,Public Holiday
11/11/2010,Thursday,Republic Day,Public Holiday
16/11/2010,Tuesday,Hajj Day,Public Holiday
17/11/2010,Wednesday,Eid-ul Al'haa,Public Holiday
08/12/2010,Wednesday,Muharram/Islamic New Year,Public Holiday
22/12/2010,Wednesday,December Solstice,Season
01/01/2011,Saturday,New Year's Day,Public Holiday
16/02/2011,Wednesday,Milad un Nabi (Mawlid),Public Holiday
