Date,Day,Name,Type
01/01/2003,Wednesday,New Year's Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
21/04/2003,Monday,Easter Monday,Public Holiday
28/04/2003,Monday,St. Pierre Chanel Day,Common local holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
29/05/2003,Thursday,Ascension Day,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
22/06/2003,Sunday,June Solstice,Season
14/07/2003,Monday,Bastille Day,Public Holiday
29/07/2003,Tuesday,Territory Day,Common local holiday
15/08/2003,Friday,Assumption of Mary,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/11/2003,Saturday,All Saints' Day,Public Holiday
11/11/2003,Tuesday,Armistice Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
12/04/2004,Monday,Easter Monday,Public Holiday
28/04/2004,Wednesday,St. Pierre Chanel Day,Common local holiday
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
20/05/2004,Thursday,Ascension Day,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
21/06/2004,Monday,June Solstice,Season
14/07/2004,Wednesday,Bastille Day,Public Holiday
29/07/2004,Thursday,Territory Day,Common local holiday
15/08/2004,Sunday,Assumption of Mary,Public Holiday
23/09/2004,Thursday,September Equinox,Season
01/11/2004,Monday,All Saints' Day,Public Holiday
11/11/2004,Thursday,Armistice Day,Public Holiday
22/12/2004,Wednesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
21/03/2005,Monday,March Equinox,Season
28/03/2005,Monday,Easter Monday,Public Holiday
28/04/2005,Thursday,St. Pierre Chanel Day,Common local holiday
01/05/2005,Sunday,Labor Day / May Day,Public Holiday
05/05/2005,Thursday,Ascension Day,Public Holiday
16/05/2005,Monday,Whit Monday,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
14/07/2005,Thursday,Bastille Day,Public Holiday
29/07/2005,Friday,Territory Day,Common local holiday
15/08/2005,Monday,Assumption of Mary,Public Holiday
23/09/2005,Friday,September Equinox,Season
01/11/2005,Tuesday,All Saints' Day,Public Holiday
11/11/2005,Friday,Armistice Day,Public Holiday
22/12/2005,Thursday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
