Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,Public Holiday
14/02/2010,Sunday,Valentine's Day,Observance
14/03/2010,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Public Holiday
04/04/2010,Sunday,Easter Sunday,Observance
09/05/2010,Sunday,Mothers' Day,Observance
24/05/2010,Monday,Bermuda Day,Public Holiday
20/06/2010,Sunday,Fathers' Day,Observance
21/06/2010,Monday,National Heroes Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
29/07/2010,Thursday,Emancipation Day,Public Holiday
30/07/2010,Friday,Somers' Day,Public Holiday
06/09/2010,Monday,Labour Day,Public Holiday
23/09/2010,Thursday,September Equinox,Season
31/10/2010,Sunday,Halloween,Observance
07/11/2010,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
11/11/2010,Thursday,Remembrance Day,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
24/12/2010,Friday,Christmas Eve,Observance
25/12/2010,Saturday,Christmas Day,Public Holiday
26/12/2010,Sunday,Boxing Day,Public Holiday
27/12/2010,Monday,Christmas/Boxing Day Holiday,Public Holiday
28/12/2010,Tuesday,Christmas/Boxing Day Holiday,Public Holiday
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,Public Holiday
03/01/2011,Monday,Day off for New Year's Day,Public Holiday
14/02/2011,Monday,Valentine's Day,Observance
13/03/2011,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
20/03/2011,Sunday,March Equinox,Season
22/04/2011,Friday,Good Friday,Public Holiday
24/04/2011,Sunday,Easter Sunday,Observance
08/05/2011,Sunday,Mothers' Day,Observance
24/05/2011,Tuesday,Bermuda Day,Public Holiday
19/06/2011,Sunday,Fathers' Day,Observance
20/06/2011,Monday,National Heroes Day,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
28/07/2011,Thursday,Emancipation Day,Public Holiday
29/07/2011,Friday,Somers' Day,Public Holiday
05/09/2011,Monday,Labour Day,Public Holiday
23/09/2011,Friday,September Equinox,Season
31/10/2011,Monday,Halloween,Observance
06/11/2011,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
11/11/2011,Friday,Remembrance Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
24/12/2011,Saturday,Christmas Eve,Observance
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Day off for Christmas Day,Public Holiday
26/12/2011,Monday,Boxing Day,Public Holiday
27/12/2011,Tuesday,Christmas/Boxing Day Holiday,Public Holiday
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,Public Holiday
02/01/2012,Monday,Day off for New Year's Day,Public Holiday
14/02/2012,Tuesday,Valentine's Day,Observance
11/03/2012,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Public Holiday
08/04/2012,Sunday,Easter Sunday,Observance
13/05/2012,Sunday,Mothers' Day,Observance
24/05/2012,Thursday,Bermuda Day,Public Holiday
17/06/2012,Sunday,Fathers' Day,Observance
18/06/2012,Monday,National Heroes Day,Public Holiday
20/06/2012,Wednesday,June Solstice,Season
02/08/2012,Thursday,Emancipation Day,Public Holiday
03/08/2012,Friday,Somers' Day,Public Holiday
03/09/2012,Monday,Labour Day,Public Holiday
22/09/2012,Saturday,September Equinox,Season
31/10/2012,Wednesday,Halloween,Observance
04/11/2012,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
11/11/2012,Sunday,Remembrance Day,Public Holiday
12/11/2012,Monday,Day off for Remembrance Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Christmas Eve,Observance
25/12/2012,Tuesday,Christmas Day,Public Holiday
26/12/2012,Wednesday,Boxing Day,Public Holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Public Holiday
14/02/2013,Thursday,Valentine's Day,Observance
10/03/2013,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public Holiday
31/03/2013,Sunday,Easter Sunday,Observance
