Date,Day,Name,Type
01/01/2003,Wednesday,New Year's Day,Public Holiday
05/03/2003,Wednesday,Missionary Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
08/05/2003,Thursday,Victory Day,Public Holiday
29/05/2003,Thursday,Ascension Day,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
29/06/2003,Sunday,Autonomy Day,Public Holiday
14/07/2003,Monday,French National Day,Public Holiday
15/08/2003,Friday,Assumption of Mary,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/11/2003,Saturday,All Saints' Day,Public Holiday
11/11/2003,Tuesday,Armistice Day,Public Holiday
21/12/2003,Sunday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
05/03/2004,Friday,Missionary Day,Public Holiday
19/03/2004,Friday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
08/05/2004,Saturday,Victory Day,Public Holiday
20/05/2004,Thursday,Ascension Day,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
20/06/2004,Sunday,June Solstice,Season
29/06/2004,Tuesday,Autonomy Day,Public Holiday
14/07/2004,Wednesday,French National Day,Public Holiday
15/08/2004,Sunday,Assumption of Mary,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
01/11/2004,Monday,All Saints' Day,Public Holiday
11/11/2004,Thursday,Armistice Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
05/03/2005,Saturday,Missionary Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
28/03/2005,Monday,Easter Monday,Public Holiday
01/05/2005,Sunday,Labor Day / May Day,Public Holiday
05/05/2005,Thursday,Ascension Day,Public Holiday
08/05/2005,Sunday,Victory Day,Public Holiday
16/05/2005,Monday,Whit Monday,Public Holiday
20/06/2005,Monday,June Solstice,Season
29/06/2005,Wednesday,Autonomy Day,Public Holiday
14/07/2005,Thursday,French National Day,Public Holiday
15/08/2005,Monday,Assumption of Mary,Public Holiday
22/09/2005,Thursday,September Equinox,Season
01/11/2005,Tuesday,All Saints' Day,Public Holiday
11/11/2005,Friday,Armistice Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
05/03/2006,Sunday,Missionary Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
14/04/2006,Friday,Good Friday,Public Holiday
17/04/2006,Monday,Easter Monday,Public Holiday
