Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
08/03/2000,Wednesday,International Women's Day (Women Only),Public Holiday
20/03/2000,Monday,March Equinox,Season
01/05/2000,Monday,Labor Day / May Day,Public Holiday
01/06/2000,Thursday,Children's Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
23/09/2000,Saturday,September Equinox,Season
02/12/2000,Saturday,National Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
01/01/2001,Monday,New Year's Day,Public Holiday
08/03/2001,Thursday,International Women's Day (Women Only),Public Holiday
20/03/2001,Tuesday,March Equinox,Season
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
01/06/2001,Friday,Children's Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
02/12/2001,Sunday,National Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
01/01/2002,Tuesday,New Year's Day,Public Holiday
08/03/2002,Friday,International Women's Day (Women Only),Public Holiday
21/03/2002,Thursday,March Equinox,Season
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
01/06/2002,Saturday,Children's Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
02/12/2002,Monday,National Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year's Day,Public Holiday
08/03/2003,Saturday,International Women's Day (Women Only),Public Holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
01/06/2003,Sunday,Children's Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
23/09/2003,Tuesday,September Equinox,Season
02/12/2003,Tuesday,National Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year's Day,Public Holiday
08/03/2004,Monday,International Women's Day (Women Only),Public Holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
01/06/2004,Tuesday,Children's Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
22/09/2004,Wednesday,September Equinox,Season
02/12/2004,Thursday,National Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year's Day,Public Holiday
08/03/2005,Tuesday,International Women's Day (Women Only),Public Holiday
20/03/2005,Sunday,March Equinox,Season
01/05/2005,Sunday,Labor Day / May Day,Public Holiday
01/06/2005,Wednesday,Children's Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
23/09/2005,Friday,September Equinox,Season
02/12/2005,Friday,National Day,Public Holiday
22/12/2005,Thursday,December Solstice,Season
01/01/2006,Sunday,New Year's Day,Public Holiday
08/03/2006,Wednesday,International Women's Day (Women Only),Public Holiday
21/03/2006,Tuesday,March Equinox,Season
01/05/2006,Monday,Labor Day / May Day,Public Holiday
01/06/2006,Thursday,Children's Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
23/09/2006,Saturday,September Equinox,Season
02/12/2006,Saturday,National Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
01/01/2007,Monday,New Year's Day,Public Holiday
08/03/2007,Thursday,International Women's Day (Women Only),Public Holiday
21/03/2007,Wednesday,March Equinox,Season
01/05/2007,Tuesday,Labor Day / May Day,Public Holiday
01/06/2007,Friday,Children's Day,Public Holiday
22/06/2007,Friday,June Solstice,Season
23/09/2007,Sunday,September Equinox,Season
02/12/2007,Sunday,National Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year's Day,Public Holiday
08/03/2008,Saturday,International Women's Day (Women Only),Public Holiday
20/03/2008,Thursday,March Equinox,Season
01/05/2008,Thursday,Labor Day / May Day,Public Holiday
01/06/2008,Sunday,Children's Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
22/09/2008,Monday,September Equinox,Season
02/12/2008,Tuesday,National Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
01/01/2009,Thursday,New Year's Day,Public Holiday
08/03/2009,Sunday,International Women's Day (Women Only),Public Holiday
20/03/2009,Friday,March Equinox,Season
01/05/2009,Friday,Labor Day / May Day,Public Holiday
01/06/2009,Monday,Children's Day,Public Holiday
21/06/2009,Sunday,June Solstice,Season
23/09/2009,Wednesday,September Equinox,Season
02/12/2009,Wednesday,National Day,Public Holiday
22/12/2009,Tuesday,December Solstice,Season
01/01/2010,Friday,New Year's Day,Public Holiday
08/03/2010,Monday,International Women's Day (Women Only),Public Holiday
21/03/2010,Sunday,March Equinox,Season
01/05/2010,Saturday,Labor Day / May Day,Public Holiday
01/06/2010,Tuesday,Children's Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
23/09/2010,Thursday,September Equinox,Season
02/12/2010,Thursday,National Day,Public Holiday
22/12/2010,Wednesday,December Solstice,Season
01/01/2011,Saturday,New Year's Day,Public Holiday
08/03/2011,Tuesday,International Women's Day (Women Only),Public Holiday
21/03/2011,Monday,March Equinox,Season
01/05/2011,Sunday,Labor Day / May Day,Public Holiday
01/06/2011,Wednesday,Children's Day,Public Holiday
22/06/2011,Wednesday,June Solstice,Season
23/09/2011,Friday,September Equinox,Season
02/12/2011,Friday,National Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
01/01/2012,Sunday,New Year's Day,Public Holiday
08/03/2012,Thursday,International Women's Day (Women Only),Public Holiday
20/03/2012,Tuesday,March Equinox,Season
01/05/2012,Tuesday,Labor Day / May Day,Public Holiday
01/06/2012,Friday,Children's Day,Public Holiday
21/06/2012,Thursday,June Solstice,Season
22/09/2012,Saturday,September Equinox,Season
02/12/2012,Sunday,National Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
01/01/2013,Tuesday,New Year's Day,Public Holiday
08/03/2013,Friday,International Women's Day (Women Only),Public Holiday
20/03/2013,Wednesday,March Equinox,Season
01/05/2013,Wednesday,Labor Day / May Day,Public Holiday
01/06/2013,Saturday,Children's Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
23/09/2013,Monday,September Equinox,Season
02/12/2013,Monday,National Day,Public Holiday
22/12/2013,Sunday,December Solstice,Season
01/01/2014,Wednesday,New Year's Day,Public Holiday
08/03/2014,Saturday,International Women's Day (Women Only),Public Holiday
20/03/2014,Thursday,March Equinox,Season
01/05/2014,Thursday,Labor Day / May Day,Public Holiday
01/06/2014,Sunday,Children's Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
23/09/2014,Tuesday,September Equinox,Season
02/12/2014,Tuesday,National Day,Public Holiday
22/12/2014,Monday,December Solstice,Season
01/01/2015,Thursday,New Year's Day,Public Holiday
08/03/2015,Sunday,International Women's Day (Women Only),Public Holiday
21/03/2015,Saturday,March Equinox,Season
01/05/2015,Friday,Labor Day / May Day,Public Holiday
01/06/2015,Monday,Children's Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
23/09/2015,Wednesday,September Equinox,Season
02/12/2015,Wednesday,National Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
01/01/2016,Friday,New Year's Day,Public Holiday
08/03/2016,Tuesday,International Women's Day (Women Only),Public Holiday
20/03/2016,Sunday,March Equinox,Season
13/04/2016,Wednesday,Lao New Year,Public Holiday
14/04/2016,Thursday,Lao New Year Holiday,Public Holiday
15/04/2016,Friday,Lao New Year Holiday,Public Holiday
01/05/2016,Sunday,Labor Day / May Day,Public Holiday
01/06/2016,Wednesday,Children's Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
19/07/2016,Tuesday,Khao Pansa,Public Holiday
22/09/2016,Thursday,September Equinox,Season
16/10/2016,Sunday,Bouk Ok Pansa,Public Holiday
14/11/2016,Monday,Boat Racing Festival,Local holiday
14/11/2016,Monday,That Luang Festival,Public Holiday
02/12/2016,Friday,National Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
01/01/2017,Sunday,New Year's Day,Public Holiday
02/01/2017,Monday,New Year's Day Holiday,Public Holiday
08/03/2017,Wednesday,International Women's Day (Women Only),Public Holiday
20/03/2017,Monday,March Equinox,Season
13/04/2017,Thursday,Lao New Year,Public Holiday
14/04/2017,Friday,Lao New Year Holiday,Public Holiday
15/04/2017,Saturday,Lao New Year Holiday,Public Holiday
16/04/2017,Sunday,Lao New Year Holiday,Public Holiday
01/05/2017,Monday,Labor Day / May Day,Public Holiday
01/06/2017,Thursday,Children's Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
08/07/2017,Saturday,Khao Pansa,Public Holiday
23/09/2017,Saturday,September Equinox,Season
05/10/2017,Thursday,Bouk Ok Pansa,Public Holiday
06/10/2017,Friday,Boat Racing Festival,Local holiday
03/11/2017,Friday,That Luang Festival,Public Holiday
02/12/2017,Saturday,National Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
01/01/2018,Monday,New Year's Day,Public Holiday
08/03/2018,Thursday,International Women's Day (Women Only),Public Holiday
20/03/2018,Tuesday,March Equinox,Season
14/04/2018,Saturday,Lao New Year Holiday,Public Holiday
15/04/2018,Sunday,Lao New Year Holiday,Public Holiday
16/04/2018,Monday,Lao New Year,Public Holiday
17/04/2018,Tuesday,Lao New Year Holiday,Public Holiday
18/04/2018,Wednesday,Lao New Year Holiday,Public Holiday
01/05/2018,Tuesday,Labor Day / May Day,Public Holiday
01/06/2018,Friday,Children's Day,Public Holiday
21/06/2018,Thursday,June Solstice,Season
20/07/2018,Friday,Lao Women Union's Day,Public Holiday
28/07/2018,Saturday,Khao Pansa,Public Holiday
23/09/2018,Sunday,September Equinox,Season
24/10/2018,Wednesday,Bouk Ok Pansa,Public Holiday
25/10/2018,Thursday,Boat Racing Festival,Local holiday
22/11/2018,Thursday,That Luang Festival,Public Holiday
02/12/2018,Sunday,National Day,Public Holiday
03/12/2018,Monday,National Day observed,Public Holiday
22/12/2018,Saturday,December Solstice,Season
01/01/2019,Tuesday,New Year's Day,Public Holiday
