Date,Day,Name,Type
22/01/2000,Saturday,Tu Bishvat,"Observance, Hebrew"
20/03/2000,Monday,Fast of Esther,"Observance, Hebrew"
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Purim,Local Holiday
22/03/2000,Wednesday,Shushan Purim,Local Holiday
19/04/2000,Wednesday,Passover Eve,"Observance, Hebrew"
20/04/2000,Thursday,Passover (Day 1),"National holiday, Hebrew"
21/04/2000,Friday,Passover (Day 2),"Observance, Hebrew"
22/04/2000,Saturday,Passover (Day 3),"Observance, Hebrew"
23/04/2000,Sunday,Passover (Day 4),"Observance, Hebrew"
24/04/2000,Monday,Passover (Day 5),"Observance, Hebrew"
25/04/2000,Tuesday,Passover (Day 6),"Observance, Hebrew"
26/04/2000,Wednesday,Passover (Day 7),"National holiday, Hebrew"
02/05/2000,Tuesday,Yom HaShoah,"National holiday, Hebrew"
09/05/2000,Tuesday,Yom HaZikaron,"National holiday, Hebrew"
10/05/2000,Wednesday,Yom HaAtzmaut,"National holiday, Hebrew"
23/05/2000,Tuesday,Lag BaOmer,"Observance, Hebrew"
02/06/2000,Friday,Jerusalem Day,"Observance, Hebrew"
08/06/2000,Thursday,Shavuot Eve,"Observance, Hebrew"
09/06/2000,Friday,Shavuot,"National holiday, Hebrew"
21/06/2000,Wednesday,June Solstice,Season
20/07/2000,Thursday,17th of Tammuz,"Observance, Hebrew"
09/08/2000,Wednesday,Tisha B'Av Eve,"Observance, Hebrew"
10/08/2000,Thursday,Tisha B'Av,"Observance, Hebrew"
22/09/2000,Friday,September Equinox,Season
29/09/2000,Friday,Rosh Hashana Eve,"Observance, Hebrew"
30/09/2000,Saturday,Rosh Hashana,"National holiday, Hebrew"
01/10/2000,Sunday,Rosh Hashana (Day 2),"National holiday, Hebrew"
02/10/2000,Monday,Gedaliah Fast,"Observance, Hebrew"
08/10/2000,Sunday,Yom Kippur Eve,"Observance, Hebrew"
09/10/2000,Monday,Yom Kippur,"National holiday, Hebrew"
13/10/2000,Friday,Sukkot Eve,"Observance, Hebrew"
14/10/2000,Saturday,Sukkot (Day 1),"National holiday, Hebrew"
15/10/2000,Sunday,Sukkot (Day 2),"Observance, Hebrew"
16/10/2000,Monday,Sukkot (Day 3),"Observance, Hebrew"
17/10/2000,Tuesday,Sukkot (Day 4),"Observance, Hebrew"
18/10/2000,Wednesday,Sukkot (Day 5),"Observance, Hebrew"
19/10/2000,Thursday,Sukkot (Day 6),"Observance, Hebrew"
20/10/2000,Friday,Sukkot (Day 7) / Hoshanah Rabah,"Observance, Hebrew"
21/10/2000,Saturday,Shemini Atzeret / Simchat Torah,"National holiday, Hebrew"
21/12/2000,Thursday,December Solstice,Season
22/12/2000,Friday,Hanukkah (Day 1),"National holiday, Hebrew"
23/12/2000,Saturday,Hanukkah (Day 2),"Observance, Hebrew"
24/12/2000,Sunday,Hanukkah (Day 3),"Observance, Hebrew"
25/12/2000,Monday,Hanukkah (Day 4),"Observance, Hebrew"
26/12/2000,Tuesday,Hanukkah (Day 5),"Observance, Hebrew"
27/12/2000,Wednesday,Hanukkah (Day 6) / Rosh Chodesh Tevet,"Observance, Hebrew"
28/12/2000,Thursday,Hanukkah (Day 7),"Observance, Hebrew"
29/12/2000,Friday,Hanukkah (Day 8),"Observance, Hebrew"
05/01/2001,Friday,Asarah B'Tevet (Tenth of Tevet),"Observance, Hebrew"
08/02/2001,Thursday,Tu Bishvat,"Observance, Hebrew"
08/03/2001,Thursday,Fast of Esther,"Observance, Hebrew"
09/03/2001,Friday,Purim,Local Holiday
11/03/2001,Sunday,Shushan Purim,Local Holiday
20/03/2001,Tuesday,March Equinox,Season
07/04/2001,Saturday,Passover Eve,"Observance, Hebrew"
08/04/2001,Sunday,Passover (Day 1),"National holiday, Hebrew"
09/04/2001,Monday,Passover (Day 2),"Observance, Hebrew"
10/04/2001,Tuesday,Passover (Day 3),"Observance, Hebrew"
11/04/2001,Wednesday,Passover (Day 4),"Observance, Hebrew"
12/04/2001,Thursday,Passover (Day 5),"Observance, Hebrew"
13/04/2001,Friday,Passover (Day 6),"Observance, Hebrew"
14/04/2001,Saturday,Passover (Day 7),"National holiday, Hebrew"
18/04/2001,Wednesday,Yom HaShoah,"National holiday, Hebrew"
26/04/2001,Thursday,Yom HaAtzmaut,"National holiday, Hebrew"
27/04/2001,Friday,Yom HaZikaron,"National holiday, Hebrew"
11/05/2001,Friday,Lag BaOmer,"Observance, Hebrew"
21/05/2001,Monday,Jerusalem Day,"Observance, Hebrew"
27/05/2001,Sunday,Shavuot Eve,"Observance, Hebrew"
28/05/2001,Monday,Shavuot,"National holiday, Hebrew"
21/06/2001,Thursday,June Solstice,Season
08/07/2001,Sunday,17th of Tammuz,"Observance, Hebrew"
28/07/2001,Saturday,Tisha B'Av Eve,"Observance, Hebrew"
29/07/2001,Sunday,Tisha B'Av,"Observance, Hebrew"
17/09/2001,Monday,Rosh Hashana Eve,"Observance, Hebrew"
18/09/2001,Tuesday,Rosh Hashana,"National holiday, Hebrew"
19/09/2001,Wednesday,Rosh Hashana (Day 2),"National holiday, Hebrew"
20/09/2001,Thursday,Gedaliah Fast,"Observance, Hebrew"
23/09/2001,Sunday,September Equinox,Season
26/09/2001,Wednesday,Yom Kippur Eve,"Observance, Hebrew"
27/09/2001,Thursday,Yom Kippur,"National holiday, Hebrew"
01/10/2001,Monday,Sukkot Eve,"Observance, Hebrew"
02/10/2001,Tuesday,Sukkot (Day 1),"National holiday, Hebrew"
03/10/2001,Wednesday,Sukkot (Day 2),"Observance, Hebrew"
04/10/2001,Thursday,Sukkot (Day 3),"Observance, Hebrew"
05/10/2001,Friday,Sukkot (Day 4),"Observance, Hebrew"
06/10/2001,Saturday,Sukkot (Day 5),"Observance, Hebrew"
07/10/2001,Sunday,Sukkot (Day 6),"Observance, Hebrew"
08/10/2001,Monday,Sukkot (Day 7) / Hoshanah Rabah,"Observance, Hebrew"
09/10/2001,Tuesday,Shemini Atzeret / Simchat Torah,"National holiday, Hebrew"
10/12/2001,Monday,Hanukkah (Day 1),"National holiday, Hebrew"
11/12/2001,Tuesday,Hanukkah (Day 2),"Observance, Hebrew"
12/12/2001,Wednesday,Hanukkah (Day 3),"Observance, Hebrew"
13/12/2001,Thursday,Hanukkah (Day 4),"Observance, Hebrew"
14/12/2001,Friday,Hanukkah (Day 5),"Observance, Hebrew"
15/12/2001,Saturday,Hanukkah (Day 6) / Rosh Chodesh Tevet,"Observance, Hebrew"
16/12/2001,Sunday,Hanukkah (Day 7),"Observance, Hebrew"
17/12/2001,Monday,Hanukkah (Day 8),"Observance, Hebrew"
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Asarah B'Tevet (Tenth of Tevet),"Observance, Hebrew"
28/01/2002,Monday,Tu Bishvat,"Observance, Hebrew"
25/02/2002,Monday,Fast of Esther,"Observance, Hebrew"
26/02/2002,Tuesday,Purim,Local Holiday
27/02/2002,Wednesday,Shushan Purim,Local Holiday
20/03/2002,Wednesday,March Equinox,Season
27/03/2002,Wednesday,Passover Eve,"Observance, Hebrew"
28/03/2002,Thursday,Passover (Day 1),"National holiday, Hebrew"
29/03/2002,Friday,Passover (Day 2),"Observance, Hebrew"
30/03/2002,Saturday,Passover (Day 3),"Observance, Hebrew"
31/03/2002,Sunday,Passover (Day 4),"Observance, Hebrew"
01/04/2002,Monday,Passover (Day 5),"Observance, Hebrew"
02/04/2002,Tuesday,Passover (Day 6),"Observance, Hebrew"
