Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
11/01/2000,Tuesday,Kosrae Constitution Day,Local holiday
01/03/2000,Wednesday,Yap Day,Local holiday
20/03/2000,Monday,March Equinox,Season
31/03/2000,Friday,Micronesia Culture Day,Public Holiday
21/04/2000,Friday,Good Friday,Local holiday
10/05/2000,Wednesday,Constitution Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
21/08/2000,Monday,Gospel Day (Kosrae),Local holiday
08/09/2000,Friday,Kosrae Liberation Day,Local holiday
11/09/2000,Monday,Pohnpei Liberation Day,Local holiday
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,Chuuk Constitution Day,Local holiday
02/10/2000,Monday,Chuuk Constitution Day observed,Local holiday
24/10/2000,Tuesday,United Nations Day,Public Holiday
03/11/2000,Friday,Kosrae Self Government Day,Local holiday
03/11/2000,Friday,Independence Day,Public Holiday
08/11/2000,Wednesday,Pohnpei Constitution Day,Local holiday
10/11/2000,Friday,Day off for Veterans of Foreign Wars Day,Public Holiday
11/11/2000,Saturday,Veterans of Foreign Wars Day,Public Holiday
23/11/2000,Thursday,Thanksgiving,Local holiday
22/12/2000,Friday,December Solstice,Season
24/12/2000,Sunday,Yap Constitution Day,Local holiday
25/12/2000,Monday,Christmas Day,Public Holiday
25/12/2000,Monday,Yap Constitution Day observed,Local holiday
01/01/2001,Monday,New Year's Day,Public Holiday
11/01/2001,Thursday,Kosrae Constitution Day,Local holiday
01/03/2001,Thursday,Yap Day,Local holiday
21/03/2001,Wednesday,March Equinox,Season
30/03/2001,Friday,Micronesia Culture Day observed,Public Holiday
31/03/2001,Saturday,Micronesia Culture Day,Public Holiday
13/04/2001,Friday,Good Friday,Local holiday
10/05/2001,Thursday,Constitution Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
21/08/2001,Tuesday,Gospel Day (Kosrae),Local holiday
07/09/2001,Friday,Kosrae Liberation Day observed,Local holiday
08/09/2001,Saturday,Kosrae Liberation Day,Local holiday
11/09/2001,Tuesday,Pohnpei Liberation Day,Local holiday
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Chuuk Constitution Day,Local holiday
24/10/2001,Wednesday,United Nations Day,Public Holiday
02/11/2001,Friday,Kosrae Self Government Day observed,Local holiday
02/11/2001,Friday,Independence Day observed,Public Holiday
03/11/2001,Saturday,Kosrae Self Government Day,Local holiday
03/11/2001,Saturday,Independence Day,Public Holiday
08/11/2001,Thursday,Pohnpei Constitution Day,Local holiday
11/11/2001,Sunday,Veterans of Foreign Wars Day,Public Holiday
12/11/2001,Monday,Day off for Veterans of Foreign Wars Day,Public Holiday
22/11/2001,Thursday,Thanksgiving,Local holiday
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Yap Constitution Day,Local holiday
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/01/2002,Friday,Kosrae Constitution Day,Local holiday
01/03/2002,Friday,Yap Day,Local holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Local holiday
31/03/2002,Sunday,Micronesia Culture Day,Public Holiday
01/04/2002,Monday,Micronesia Culture Day observed,Public Holiday
10/05/2002,Friday,Constitution Day,Public Holiday
22/06/2002,Saturday,June Solstice,Season
21/08/2002,Wednesday,Gospel Day (Kosrae),Local holiday
08/09/2002,Sunday,Kosrae Liberation Day,Local holiday
09/09/2002,Monday,Kosrae Liberation Day observed,Local holiday
11/09/2002,Wednesday,Pohnpei Liberation Day,Local holiday
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Chuuk Constitution Day,Local holiday
24/10/2002,Thursday,United Nations Day,Public Holiday
03/11/2002,Sunday,Kosrae Self Government Day,Local holiday
03/11/2002,Sunday,Independence Day,Public Holiday
04/11/2002,Monday,Kosrae Self Government Day observed,Local holiday
04/11/2002,Monday,Independence Day observed,Public Holiday
08/11/2002,Friday,Pohnpei Constitution Day,Local holiday
11/11/2002,Monday,Veterans of Foreign Wars Day,Public Holiday
28/11/2002,Thursday,Thanksgiving,Local holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Yap Constitution Day,Local holiday
