Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
03/01/2000,Monday,Lailat al-Qadr,Muslim
03/01/2000,Monday,New Year Holiday,National holiday
04/01/2000,Tuesday,New Year Holiday,National holiday
05/01/2000,Wednesday,New Year Holiday,National holiday
06/01/2000,Thursday,New Year Holiday,National holiday
07/01/2000,Friday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2000,Saturday,Eid al-Fitr,Muslim
10/01/2000,Monday,New Year Holiday,Observance
14/01/2000,Friday,Old New Year,Observance
14/02/2000,Monday,Valentine's Day,Observance
08/03/2000,Wednesday,International Women's Day,National holiday
16/03/2000,Thursday,Eid al-Adha,Muslim
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram,Muslim
30/04/2000,Sunday,Orthodox Easter Day,"Observance, Orthodox"
01/05/2000,Monday,Spring and Labor Day,National holiday
09/05/2000,Tuesday,Victory Day,National holiday
12/06/2000,Monday,Day of Signing the Declaration of State Sovereignty,National holiday
15/06/2000,Thursday,The Prophet's Birthday,Muslim
21/06/2000,Wednesday,June Solstice,Season
01/09/2000,Friday,Day of Knowledge,Observance
22/09/2000,Friday,September Equinox,Season
26/10/2000,Thursday,Isra and Mi'raj,Muslim
07/11/2000,Tuesday,Day of Accord and Reconciliation,National holiday
26/11/2000,Sunday,Mother's Day,Observance
28/11/2000,Tuesday,Ramadan starts,Muslim
12/12/2000,Tuesday,Constitution Day,National holiday
21/12/2000,Thursday,December Solstice,Season
23/12/2000,Saturday,Lailat al-Qadr,Muslim
28/12/2000,Thursday,Eid al-Fitr,Muslim
01/01/2001,Monday,New Year's Day,National holiday
02/01/2001,Tuesday,New Year Holiday,National holiday
03/01/2001,Wednesday,New Year Holiday,National holiday
04/01/2001,Thursday,New Year Holiday,National holiday
05/01/2001,Friday,New Year Holiday,National holiday
07/01/2001,Sunday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2001,Monday,New Year Holiday,National holiday
09/01/2001,Tuesday,New Year Holiday,National holiday
10/01/2001,Wednesday,New Year Holiday,Observance
14/01/2001,Sunday,Old New Year,Observance
14/02/2001,Wednesday,Valentine's Day,Observance
06/03/2001,Tuesday,Eid al-Adha,Muslim
08/03/2001,Thursday,International Women's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram,Muslim
15/04/2001,Sunday,Orthodox Easter Day,"Observance, Orthodox"
28/04/2001,Saturday,Special working day,Working day (replacement)
30/04/2001,Monday,Spring and Labor Day Holiday,National holiday
01/05/2001,Tuesday,Spring and Labor Day,National holiday
09/05/2001,Wednesday,Victory Day,National holiday
04/06/2001,Monday,The Prophet's Birthday,Muslim
09/06/2001,Saturday,Special working day,Working day (replacement)
11/06/2001,Monday,Russia Day Weekend,National holiday
12/06/2001,Tuesday,Day of Signing the Declaration of State Sovereignty,National holiday
21/06/2001,Thursday,June Solstice,Season
01/09/2001,Saturday,Day of Knowledge,Observance
23/09/2001,Sunday,September Equinox,Season
15/10/2001,Monday,Isra and Mi'raj,Muslim
07/11/2001,Wednesday,Day of Accord and Reconciliation,National holiday
17/11/2001,Saturday,Ramadan starts,Muslim
25/11/2001,Sunday,Mother's Day,Observance
12/12/2001,Wednesday,Lailat al-Qadr,Muslim
12/12/2001,Wednesday,Constitution Day,National holiday
17/12/2001,Monday,Eid al-Fitr,Muslim
21/12/2001,Friday,December Solstice,Season
29/12/2001,Saturday,Special working day,Working day (replacement)
01/01/2002,Tuesday,New Year's Day,National holiday
02/01/2002,Wednesday,New Year Holiday,National holiday
03/01/2002,Thursday,New Year Holiday,National holiday
04/01/2002,Friday,New Year Holiday,National holiday
07/01/2002,Monday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2002,Tuesday,New Year Holiday,National holiday
09/01/2002,Wednesday,New Year Holiday,National holiday
10/01/2002,Thursday,New Year Holiday,Observance
14/01/2002,Monday,Old New Year,Observance
14/02/2002,Thursday,Valentine's Day,Observance
23/02/2002,Saturday,Eid al-Adha,Muslim
23/02/2002,Saturday,Defender of the Fatherland Day,National holiday
25/02/2002,Monday,Defender of the Fatherland Day observed,National holiday
08/03/2002,Friday,International Women's Day,National holiday
15/03/2002,Friday,Muharram,Muslim
20/03/2002,Wednesday,March Equinox,Season
01/05/2002,Wednesday,Spring and Labor Day,National holiday
05/05/2002,Sunday,Orthodox Easter Day,"Observance, Orthodox"
09/05/2002,Thursday,Victory Day,National holiday
24/05/2002,Friday,The Prophet's Birthday,Muslim
12/06/2002,Wednesday,Russia Day,National holiday
21/06/2002,Friday,June Solstice,Season
01/09/2002,Sunday,Day of Knowledge,Observance
23/09/2002,Monday,September Equinox,Season
04/10/2002,Friday,Isra and Mi'raj,Muslim
06/11/2002,Wednesday,Ramadan starts,Muslim
07/11/2002,Thursday,Day of Accord and Reconciliation,National holiday
24/11/2002,Sunday,Mother's Day,Observance
01/12/2002,Sunday,Lailat al-Qadr,Muslim
06/12/2002,Friday,Eid al-Fitr,Muslim
12/12/2002,Thursday,Constitution Day,National holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year's Day,National holiday
02/01/2003,Thursday,New Year Holiday,National holiday
03/01/2003,Friday,New Year Holiday,National holiday
06/01/2003,Monday,New Year Holiday,National holiday
07/01/2003,Tuesday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2003,Wednesday,New Year Holiday,National holiday
09/01/2003,Thursday,New Year Holiday,National holiday
10/01/2003,Friday,New Year Holiday,Observance
14/01/2003,Tuesday,Old New Year,Observance
12/02/2003,Wednesday,Eid al-Adha,Muslim
14/02/2003,Friday,Valentine's Day,Observance
23/02/2003,Sunday,Defender of the Fatherland Day,National holiday
24/02/2003,Monday,Defender of the Fatherland Day observed,National holiday
05/03/2003,Wednesday,Muharram,Muslim
08/03/2003,Saturday,International Women's Day,National holiday
10/03/2003,Monday,Day off for International Women's Day,National holiday
21/03/2003,Friday,March Equinox,Season
27/04/2003,Sunday,Orthodox Easter Day,"Observance, Orthodox"
