Date,Day,Name,Type
01/01/2014,Wednesday,New Year,National holiday
14/01/2014,Tuesday,The Prophet's Birthday,National holiday
20/03/2014,Thursday,March Equinox,Season
01/05/2014,Thursday,May Day,National holiday
21/06/2014,Saturday,June Solstice,Season
29/07/2014,Tuesday,Eid al-Fitr,National holiday
29/07/2014,Tuesday,Eid al-Fitr Holiday,National holiday
30/07/2014,Wednesday,Eid al-Fitr Holiday,National holiday
23/09/2014,Tuesday,September Equinox,Season
04/10/2014,Saturday,Arafat Day,Government holiday
05/10/2014,Sunday,Eid al-Adha,National holiday
06/10/2014,Monday,Eid al-Adha Holiday,National holiday
07/10/2014,Tuesday,Eid al-Adha Holiday,National holiday
08/10/2014,Wednesday,Eid al-Adha Holiday,National holiday
09/10/2014,Thursday,Eid al-Adha,National holiday
23/10/2014,Thursday,Ashoora Holiday,National holiday
25/10/2014,Saturday,Muharram,National holiday
03/11/2014,Monday,Ashoora,National holiday
16/12/2014,Tuesday,National Day,National holiday
17/12/2014,Wednesday,National Day (second day),National holiday
22/12/2014,Monday,December Solstice,Season
01/01/2015,Thursday,New Year,National holiday
03/01/2015,Saturday,The Prophet's Birthday,National holiday
21/03/2015,Saturday,March Equinox,Season
01/05/2015,Friday,May Day,National holiday
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,National holiday
18/07/2015,Saturday,Eid al-Fitr Holiday,National holiday
19/07/2015,Sunday,Eid al-Fitr Holiday,National holiday
23/09/2015,Wednesday,Arafat Day,Government holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,National holiday
25/09/2015,Friday,Eid al-Adha Holiday,National holiday
26/09/2015,Saturday,Eid al-Adha Holiday,National holiday
27/09/2015,Sunday,Eid al-Adha Holiday,National holiday
28/09/2015,Monday,Eid al-Adha,National holiday
15/10/2015,Thursday,Muharram,National holiday
23/10/2015,Friday,Ashoora Holiday,National holiday
24/10/2015,Saturday,Ashoora,National holiday
16/12/2015,Wednesday,National Day,National holiday
17/12/2015,Thursday,National Day (second day),National holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,National holiday
01/01/2016,Friday,New Year,National holiday
20/03/2016,Sunday,March Equinox,Season
01/05/2016,Sunday,May Day,National holiday
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,National holiday
07/07/2016,Thursday,Eid al-Fitr Holiday,National holiday
08/07/2016,Friday,Eid al-Fitr Holiday,National holiday
12/09/2016,Monday,Arafat Day,Government holiday
13/09/2016,Tuesday,Eid al-Adha,National holiday
14/09/2016,Wednesday,Eid al-Adha Holiday,National holiday
15/09/2016,Thursday,Eid al-Adha Holiday,National holiday
16/09/2016,Friday,Eid al-Adha Holiday,National holiday
17/09/2016,Saturday,Eid al-Adha,National holiday
22/09/2016,Thursday,September Equinox,Season
03/10/2016,Monday,Muharram,National holiday
12/10/2016,Wednesday,Ashoora,National holiday
23/10/2016,Sunday,Ashoora Holiday,National holiday
12/12/2016,Monday,The Prophet's Birthday,National holiday
16/12/2016,Friday,National Day,National holiday
17/12/2016,Saturday,National Day (second day),National holiday
