Date,Day,Name,Type
01/01/2005,Saturday,New Year's Day,Optional Holiday
10/01/2005,Monday,Bangabandhu Homecoming Day,Observance
21/01/2005,Friday,Eid al-Adha,Government Holiday
22/01/2005,Saturday,Eid al-Adha Holiday,Government Holiday
23/01/2005,Sunday,Eid al-Adha Holiday,Government Holiday
24/01/2005,Monday,Eid al-Adha Holiday,Optional Holiday
09/02/2005,Wednesday,Ash Wednesday,Optional Holiday
13/02/2005,Sunday,Saraswati Puja,Optional Holiday
14/02/2005,Monday,Valentine's Day,Observance
21/02/2005,Monday,Language Martyrs' Day,Government Holiday
02/03/2005,Wednesday,National Flag Day,Observance
08/03/2005,Tuesday,Maha Shivaratri,Optional Holiday
17/03/2005,Thursday,Sheikh Mujibur Rahman’s birthday,Government Holiday
20/03/2005,Sunday,March Equinox,Season
24/03/2005,Thursday,Maundy Thursday,Optional Holiday
25/03/2005,Friday,Good Friday,Optional Holiday
26/03/2005,Saturday,Independence Day,Government Holiday
26/03/2005,Saturday,Holy Saturday,Optional Holiday
27/03/2005,Sunday,Easter Day,Optional Holiday
28/03/2005,Monday,Easter Monday,Optional Holiday
14/04/2005,Thursday,Bengali New Year,Government Holiday
22/04/2005,Friday,Eid e-Milad-un Nabi,Government Holiday
01/05/2005,Sunday,May Day,Government Holiday
08/05/2005,Sunday,Mothers' Day,Observance
23/05/2005,Monday,Buddha Purnima/Vesak,Government Holiday
19/06/2005,Sunday,Fathers' Day,Observance
21/06/2005,Tuesday,June Solstice,Season
01/07/2005,Friday,July 1 Bank Holiday,Bank Holiday
15/08/2005,Monday,National Mourning Day,Government Holiday
26/08/2005,Friday,Janmashtami,Government Holiday
01/09/2005,Thursday,Shab-e-Meraj,Optional Holiday
19/09/2005,Monday,Shab e-Barat,Government Holiday
23/09/2005,Friday,September Equinox,Season
12/10/2005,Wednesday,Durga Puja,Government Holiday
28/10/2005,Friday,Jumatul Bidah,Government Holiday
30/10/2005,Sunday,Shab-e-qadr,Government Holiday
31/10/2005,Monday,Halloween,Observance
04/11/2005,Friday,Eid ul-Fitr,Government Holiday
05/11/2005,Saturday,Eid ul-Fitr Holiday,Government Holiday
06/11/2005,Sunday,Eid ul-Fitr Holiday,Government Holiday
07/11/2005,Monday,Eid ul-Fitr Holiday,Optional Holiday
16/12/2005,Friday,Victory Day,Government Holiday
22/12/2005,Thursday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,Optional Holiday
25/12/2005,Sunday,Christmas Day,Government Holiday
26/12/2005,Monday,Boxing Day,Optional Holiday
31/12/2005,Saturday,New Year's Eve,Bank Holiday
01/01/2006,Sunday,New Year's Day,Optional Holiday
10/01/2006,Tuesday,Bangabandhu Homecoming Day,Observance
11/01/2006,Wednesday,Eid al-Adha,Government Holiday
12/01/2006,Thursday,Eid al-Adha Holiday,Government Holiday
13/01/2006,Friday,Eid al-Adha Holiday,Government Holiday
14/01/2006,Saturday,Eid al-Adha Holiday,Optional Holiday
02/02/2006,Thursday,Saraswati Puja,Optional Holiday
14/02/2006,Tuesday,Valentine's Day,Observance
21/02/2006,Tuesday,Language Martyrs' Day,Government Holiday
26/02/2006,Sunday,Maha Shivaratri,Optional Holiday
01/03/2006,Wednesday,Ash Wednesday,Optional Holiday
02/03/2006,Thursday,National Flag Day,Observance
17/03/2006,Friday,Sheikh Mujibur Rahman’s birthday,Government Holiday
21/03/2006,Tuesday,March Equinox,Season
26/03/2006,Sunday,Independence Day,Government Holiday
11/04/2006,Tuesday,Eid e-Milad-un Nabi,Government Holiday
13/04/2006,Thursday,Maundy Thursday,Optional Holiday
14/04/2006,Friday,Bengali New Year,Government Holiday
14/04/2006,Friday,Good Friday,Optional Holiday
15/04/2006,Saturday,Holy Saturday,Optional Holiday
16/04/2006,Sunday,Easter Day,Optional Holiday
17/04/2006,Monday,Easter Monday,Optional Holiday
01/05/2006,Monday,May Day,Government Holiday
13/05/2006,Saturday,Buddha Purnima/Vesak,Government Holiday
14/05/2006,Sunday,Mothers' Day,Observance
18/06/2006,Sunday,Fathers' Day,Observance
21/06/2006,Wednesday,June Solstice,Season
01/07/2006,Saturday,July 1 Bank Holiday,Bank Holiday
15/08/2006,Tuesday,National Mourning Day,Government Holiday
16/08/2006,Wednesday,Janmashtami,Government Holiday
22/08/2006,Tuesday,Shab-e-Meraj,Optional Holiday
08/09/2006,Friday,Shab e-Barat,Government Holiday
23/09/2006,Saturday,September Equinox,Season
01/10/2006,Sunday,Durga Puja,Government Holiday
19/10/2006,Thursday,Shab-e-qadr,Government Holiday
20/10/2006,Friday,Jumatul Bidah,Government Holiday
24/10/2006,Tuesday,Eid ul-Fitr,Government Holiday
25/10/2006,Wednesday,Eid ul-Fitr Holiday,Government Holiday
26/10/2006,Thursday,Eid ul-Fitr Holiday,Government Holiday
27/10/2006,Friday,Eid ul-Fitr Holiday,Optional Holiday
31/10/2006,Tuesday,Halloween,Observance
16/12/2006,Saturday,Victory Day,Government Holiday
22/12/2006,Friday,December Solstice,Season
24/12/2006,Sunday,Christmas Eve,Optional Holiday
25/12/2006,Monday,Christmas Day,Government Holiday
26/12/2006,Tuesday,Boxing Day,Optional Holiday
31/12/2006,Sunday,New Year's Eve,Bank Holiday
01/01/2007,Monday,Eid al-Adha Holiday,Government Holiday
01/01/2007,Monday,New Year's Day,Optional Holiday
02/01/2007,Tuesday,Eid al-Adha Holiday,Government Holiday
03/01/2007,Wednesday,Eid al-Adha Holiday,Optional Holiday
10/01/2007,Wednesday,Bangabandhu Homecoming Day,Observance
20/01/2007,Saturday,Muharram,Government Holiday
23/01/2007,Tuesday,Saraswati Puja,Optional Holiday
30/01/2007,Tuesday,Ashura,Government Holiday
14/02/2007,Wednesday,Valentine's Day,Observance
16/02/2007,Friday,Maha Shivaratri,Optional Holiday
21/02/2007,Wednesday,Language Martyrs' Day,Government Holiday
21/02/2007,Wednesday,Ash Wednesday,Optional Holiday
02/03/2007,Friday,National Flag Day,Observance
17/03/2007,Saturday,Sheikh Mujibur Rahman’s birthday,Government Holiday
21/03/2007,Wednesday,March Equinox,Season
26/03/2007,Monday,Independence Day,Government Holiday
01/04/2007,Sunday,Eid e-Milad-un Nabi,Government Holiday
05/04/2007,Thursday,Maundy Thursday,Optional Holiday
06/04/2007,Friday,Good Friday,Optional Holiday
07/04/2007,Saturday,Holy Saturday,Optional Holiday
08/04/2007,Sunday,Easter Day,Optional Holiday
09/04/2007,Monday,Easter Monday,Optional Holiday
14/04/2007,Saturday,Bengali New Year,Government Holiday
01/05/2007,Tuesday,May Day,Government Holiday
02/05/2007,Wednesday,Buddha Purnima/Vesak,Government Holiday
13/05/2007,Sunday,Mothers' Day,Observance
17/06/2007,Sunday,Fathers' Day,Observance
22/06/2007,Friday,June Solstice,Season
01/07/2007,Sunday,July 1 Bank Holiday,Bank Holiday
11/08/2007,Saturday,Shab-e-Meraj,Optional Holiday
15/08/2007,Wednesday,National Mourning Day,Government Holiday
27/08/2007,Monday,Shab e-Barat,Government Holiday
04/09/2007,Tuesday,Janmashtami,Government Holiday
23/09/2007,Sunday,September Equinox,Season
05/10/2007,Friday,Jumatul Bidah,Government Holiday
08/10/2007,Monday,Shab-e-qadr,Government Holiday
13/10/2007,Saturday,Eid ul-Fitr,Government Holiday
14/10/2007,Sunday,Eid ul-Fitr Holiday,Government Holiday
15/10/2007,Monday,Eid ul-Fitr Holiday,Government Holiday
16/10/2007,Tuesday,Eid ul-Fitr Holiday,Optional Holiday
19/10/2007,Friday,Durga Puja,Government Holiday
25/10/2007,Thursday,Prabarana Purnima,Optional Holiday
31/10/2007,Wednesday,Halloween,Observance
16/12/2007,Sunday,Victory Day,Government Holiday
20/12/2007,Thursday,Eid al-Adha,Government Holiday
21/12/2007,Friday,Eid al-Adha Holiday,Government Holiday
22/12/2007,Saturday,Eid al-Adha Holiday,Government Holiday
22/12/2007,Saturday,December Solstice,Season
23/12/2007,Sunday,Eid al-Adha Holiday,Optional Holiday
24/12/2007,Monday,Christmas Eve,Optional Holiday
25/12/2007,Tuesday,Christmas Day,Government Holiday
26/12/2007,Wednesday,Boxing Day,Optional Holiday
31/12/2007,Monday,New Year's Eve,Bank Holiday
01/01/2008,Tuesday,New Year's Day,Optional Holiday
10/01/2008,Thursday,Bangabandhu Homecoming Day,Observance
10/01/2008,Thursday,Muharram,Government Holiday
06/02/2008,Wednesday,Ash Wednesday,Optional Holiday
11/02/2008,Monday,Saraswati Puja,Optional Holiday
14/02/2008,Thursday,Valentine's Day,Observance
21/02/2008,Thursday,Language Martyrs' Day,Government Holiday
02/03/2008,Sunday,National Flag Day,Observance
05/03/2008,Wednesday,Maha Shivaratri,Optional Holiday
05/03/2008,Wednesday,Akhari Chahar Somba,Optional Holiday
17/03/2008,Monday,Sheikh Mujibur Rahman’s birthday,Government Holiday
20/03/2008,Thursday,Eid e-Milad-un Nabi,Government Holiday
20/03/2008,Thursday,Maundy Thursday,Optional Holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Fateha-i-Yajdaham,Optional Holiday
21/03/2008,Friday,Good Friday,Optional Holiday
22/03/2008,Saturday,Holi,Hindu Holiday
22/03/2008,Saturday,Holy Saturday,Optional Holiday
23/03/2008,Sunday,Easter Day,Optional Holiday
24/03/2008,Monday,Easter Monday,Optional Holiday
26/03/2008,Wednesday,Independence Day,Government Holiday
14/04/2008,Monday,Bengali New Year,Government Holiday
01/05/2008,Thursday,May Day,Government Holiday
11/05/2008,Sunday,Mothers' Day,Observance
20/05/2008,Tuesday,Buddha Purnima/Vesak,Government Holiday
15/06/2008,Sunday,Fathers' Day,Observance
21/06/2008,Saturday,June Solstice,Season
01/07/2008,Tuesday,July 1 Bank Holiday,Bank Holiday
31/07/2008,Thursday,Shab-e-Meraj,Optional Holiday
15/08/2008,Friday,National Mourning Day,Government Holiday
16/08/2008,Saturday,Raksha Bandhan,Hindu Holiday
17/08/2008,Sunday,Shab e-Barat,Government Holiday
23/08/2008,Saturday,Janmashtami,Government Holiday
03/09/2008,Wednesday,Ganesh Chaturthi,Hindu Holiday
22/09/2008,Monday,September Equinox,Season
26/09/2008,Friday,Jumatul Bidah,Government Holiday
27/09/2008,Saturday,Shab-e-qadr,Government Holiday
28/09/2008,Sunday,Mahalaya,Optional Holiday
30/09/2008,Tuesday,First Day of Navaratri,Hindu Holiday
02/10/2008,Thursday,Eid ul-Fitr,Government Holiday
03/10/2008,Friday,Eid ul-Fitr Holiday,Government Holiday
04/10/2008,Saturday,Eid ul-Fitr Holiday,Government Holiday
05/10/2008,Sunday,Eid ul-Fitr Holiday,Optional Holiday
05/10/2008,Sunday,Prabarana Purnima,Optional Holiday
09/10/2008,Thursday,Durga Puja,Government Holiday
14/10/2008,Tuesday,Lakshmi Puja,Optional Holiday
31/10/2008,Friday,Halloween,Observance
09/12/2008,Tuesday,Eid al-Adha,Government Holiday
10/12/2008,Wednesday,Eid al-Adha Holiday,Government Holiday
11/12/2008,Thursday,Eid al-Adha Holiday,Government Holiday
12/12/2008,Friday,Eid al-Adha Holiday,Optional Holiday
16/12/2008,Tuesday,Victory Day,Government Holiday
21/12/2008,Sunday,December Solstice,Season
24/12/2008,Wednesday,Christmas Eve,Optional Holiday
25/12/2008,Thursday,Christmas Day,Government Holiday
26/12/2008,Friday,Boxing Day,Optional Holiday
29/12/2008,Monday,Muharram,Government Holiday
31/12/2008,Wednesday,New Year's Eve,Bank Holiday
01/01/2009,Thursday,New Year's Day,Optional Holiday
10/01/2009,Saturday,Bangabandhu Homecoming Day,Observance
31/01/2009,Saturday,Saraswati Puja,Optional Holiday
14/02/2009,Saturday,Valentine's Day,Observance
21/02/2009,Saturday,Language Martyrs' Day,Government Holiday
23/02/2009,Monday,Maha Shivaratri,Optional Holiday
25/02/2009,Wednesday,Akhari Chahar Somba,Optional Holiday
25/02/2009,Wednesday,Ash Wednesday,Optional Holiday
02/03/2009,Monday,National Flag Day,Observance
10/03/2009,Tuesday,Eid e-Milad-un Nabi,Government Holiday
11/03/2009,Wednesday,Holi,Hindu Holiday
17/03/2009,Tuesday,Sheikh Mujibur Rahman’s birthday,Government Holiday
20/03/2009,Friday,March Equinox,Season
26/03/2009,Thursday,Independence Day,Government Holiday
07/04/2009,Tuesday,Fateha-i-Yajdaham,Optional Holiday
09/04/2009,Thursday,Maundy Thursday,Optional Holiday
10/04/2009,Friday,Good Friday,Optional Holiday
11/04/2009,Saturday,Holy Saturday,Optional Holiday
12/04/2009,Sunday,Easter Day,Optional Holiday
13/04/2009,Monday,Easter Monday,Optional Holiday
14/04/2009,Tuesday,Bengali New Year,Government Holiday
01/05/2009,Friday,May Day,Government Holiday
09/05/2009,Saturday,Buddha Purnima/Vesak,Government Holiday
10/05/2009,Sunday,Mothers' Day,Observance
21/06/2009,Sunday,Fathers' Day,Observance
21/06/2009,Sunday,June Solstice,Season
01/07/2009,Wednesday,July 1 Bank Holiday,Bank Holiday
20/07/2009,Monday,Shab-e-Meraj,Optional Holiday
05/08/2009,Wednesday,Raksha Bandhan,Hindu Holiday
07/08/2009,Friday,Shab e-Barat,Government Holiday
14/08/2009,Friday,Janmashtami,Government Holiday
15/08/2009,Saturday,National Mourning Day,Government Holiday
23/08/2009,Sunday,Ganesh Chaturthi,Hindu Holiday
16/09/2009,Wednesday,Shab-e-qadr,Government Holiday
18/09/2009,Friday,Jumatul Bidah,Government Holiday
