Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
15/01/2015,Thursday,John Chilembwe Day,Public Holiday
03/03/2015,Tuesday,Martyrs' Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
04/04/2015,Saturday,Easter Saturday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
14/05/2015,Thursday,Kamuzu Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
06/07/2015,Monday,Independence Day,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
20/07/2015,Monday,Day off for Eid al-Fitr,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
15/10/2015,Thursday,Mother's Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
28/12/2015,Monday,Day off for Boxing Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
15/01/2016,Friday,John Chilembwe Day,Public Holiday
03/03/2016,Thursday,Martyrs' Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
26/03/2016,Saturday,Easter Saturday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,May Day,Public Holiday
02/05/2016,Monday,Day off for May Day,Public Holiday
14/05/2016,Saturday,Kamuzu Day,Public Holiday
16/05/2016,Monday,Day off for Kamuzu Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
06/07/2016,Wednesday,Independence Day,Public Holiday
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
22/09/2016,Thursday,September Equinox,Season
15/10/2016,Saturday,Mother's Day,Public Holiday
17/10/2016,Monday,Day off for Mother's Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Day off for Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
02/01/2017,Monday,Day off for New Year,Public Holiday
15/01/2017,Sunday,John Chilembwe Day,Public Holiday
16/01/2017,Monday,Day off for John Chilembwe Day,Public Holiday
03/03/2017,Friday,Martyrs' Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
