Date,Day,Name,Type
01/01/2014,Wednesday,New Year,Public Holiday
20/03/2014,Thursday,March Equinox,Season
21/04/2014,Monday,Easter Monday,Public Holiday
01/05/2014,Thursday,Labour Day,Public Holiday
08/05/2014,Thursday,WWII Victory Day,Public Holiday
29/05/2014,Thursday,Ascension Day,Public Holiday
09/06/2014,Monday,Whit Monday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
14/07/2014,Monday,French National Day,Public Holiday
15/08/2014,Friday,Assumption of Mary,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
01/11/2014,Saturday,All Saints' Day,Public Holiday
11/11/2014,Tuesday,Armistice Day,Public Holiday
20/12/2014,Saturday,Abolition of Slavery,Public Holiday
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
21/03/2015,Saturday,March Equinox,Season
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,Labour Day,Public Holiday
08/05/2015,Friday,WWII Victory Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
25/05/2015,Monday,Whit Monday,Public Holiday
21/06/2015,Sunday,June Solstice,Season
14/07/2015,Tuesday,French National Day,Public Holiday
15/08/2015,Saturday,Assumption of Mary,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
01/11/2015,Sunday,All Saints' Day,Public Holiday
11/11/2015,Wednesday,Armistice Day,Public Holiday
20/12/2015,Sunday,Abolition of Slavery,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/03/2016,Sunday,March Equinox,Season
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,Labour Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
08/05/2016,Sunday,WWII Victory Day,Public Holiday
16/05/2016,Monday,Whit Monday,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
14/07/2016,Thursday,French National Day,Public Holiday
15/08/2016,Monday,Assumption of Mary,Public Holiday
22/09/2016,Thursday,September Equinox,Season
01/11/2016,Tuesday,All Saints' Day,Public Holiday
11/11/2016,Friday,Armistice Day,Public Holiday
20/12/2016,Tuesday,Abolition of Slavery,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
20/03/2017,Monday,March Equinox,Season
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Labour Day,Public Holiday
08/05/2017,Monday,WWII Victory Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
05/06/2017,Monday,Whit Monday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
14/07/2017,Friday,French National Day,Public Holiday
15/08/2017,Tuesday,Assumption of Mary,Public Holiday
23/09/2017,Saturday,September Equinox,Season
01/11/2017,Wednesday,All Saints' Day,Public Holiday
11/11/2017,Saturday,Armistice Day,Public Holiday
20/12/2017,Wednesday,Abolition of Slavery,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
02/04/2018,Monday,Easter Monday,Public Holiday
01/05/2018,Tuesday,Labour Day,Public Holiday
08/05/2018,Tuesday,WWII Victory Day,Public Holiday
10/05/2018,Thursday,Ascension Day,Public Holiday
21/05/2018,Monday,Whit Monday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
14/07/2018,Saturday,French National Day,Public Holiday
15/08/2018,Wednesday,Assumption of Mary,Public Holiday
23/09/2018,Sunday,September Equinox,Season
01/11/2018,Thursday,All Saints' Day,Public Holiday
11/11/2018,Sunday,Armistice Day,Public Holiday
20/12/2018,Thursday,Abolition of Slavery,Public Holiday
22/12/2018,Saturday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
21/03/2019,Thursday,March Equinox,Season
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,Labour Day,Public Holiday
08/05/2019,Wednesday,WWII Victory Day,Public Holiday
30/05/2019,Thursday,Ascension Day,Public Holiday
10/06/2019,Monday,Whit Monday,Public Holiday
21/06/2019,Friday,June Solstice,Season
14/07/2019,Sunday,French National Day,Public Holiday
15/08/2019,Thursday,Assumption of Mary,Public Holiday
23/09/2019,Monday,September Equinox,Season
01/11/2019,Friday,All Saints' Day,Public Holiday
11/11/2019,Monday,Armistice Day,Public Holiday
20/12/2019,Friday,Abolition of Slavery,Public Holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
01/01/2020,Wednesday,New Year,Public Holiday
20/03/2020,Friday,March Equinox,Season
13/04/2020,Monday,Easter Monday,Public Holiday
01/05/2020,Friday,Labour Day,Public Holiday
08/05/2020,Friday,WWII Victory Day,Public Holiday
21/05/2020,Thursday,Ascension Day,Public Holiday
01/06/2020,Monday,Whit Monday,Public Holiday
21/06/2020,Sunday,June Solstice,Season
14/07/2020,Tuesday,French National Day,Public Holiday
15/08/2020,Saturday,Assumption of Mary,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
01/11/2020,Sunday,All Saints' Day,Public Holiday
11/11/2020,Wednesday,Armistice Day,Public Holiday
20/12/2020,Sunday,Abolition of Slavery,Public Holiday
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
01/01/2021,Friday,New Year,Public Holiday
20/03/2021,Saturday,March Equinox,Season
05/04/2021,Monday,Easter Monday,Public Holiday
01/05/2021,Saturday,Labour Day,Public Holiday
08/05/2021,Saturday,WWII Victory Day,Public Holiday
13/05/2021,Thursday,Ascension Day,Public Holiday
24/05/2021,Monday,Whit Monday,Public Holiday
21/06/2021,Monday,June Solstice,Season
14/07/2021,Wednesday,French National Day,Public Holiday
15/08/2021,Sunday,Assumption of Mary,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
01/11/2021,Monday,All Saints' Day,Public Holiday
11/11/2021,Thursday,Armistice Day,Public Holiday
20/12/2021,Monday,Abolition of Slavery,Public Holiday
21/12/2021,Tuesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
01/01/2022,Saturday,New Year,Public Holiday
20/03/2022,Sunday,March Equinox,Season
18/04/2022,Monday,Easter Monday,Public Holiday
01/05/2022,Sunday,Labour Day,Public Holiday
08/05/2022,Sunday,WWII Victory Day,Public Holiday
26/05/2022,Thursday,Ascension Day,Public Holiday
06/06/2022,Monday,Whit Monday,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
14/07/2022,Thursday,French National Day,Public Holiday
15/08/2022,Monday,Assumption of Mary,Public Holiday
23/09/2022,Friday,September Equinox,Season
01/11/2022,Tuesday,All Saints' Day,Public Holiday
11/11/2022,Friday,Armistice Day,Public Holiday
20/12/2022,Tuesday,Abolition of Slavery,Public Holiday
22/12/2022,Thursday,December Solstice,Season
25/12/2022,Sunday,Christmas Day,Public Holiday
