Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,Observance
10/01/2000,Monday,Epiphany,National holiday
08/03/2000,Wednesday,Women's Day,Observance
19/03/2000,Sunday,Saint Joseph's Day,Observance
20/03/2000,Monday,Saint Joseph's Day,National holiday
20/03/2000,Monday,March Equinox,Season
16/04/2000,Sunday,Palm Sunday,"Observance, Christian"
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
23/04/2000,Sunday,Language Day,Observance
26/04/2000,Wednesday,Secretaries' Day,Observance
29/04/2000,Saturday,Day of Trees,Observance
29/04/2000,Saturday,Children's Day,Observance
01/05/2000,Monday,Labor Day / May Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
15/05/2000,Monday,Teacher's Day,Observance
05/06/2000,Monday,Ascension Day,National holiday
18/06/2000,Sunday,Father's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Observance
26/06/2000,Monday,Corpus Christi,National holiday
29/06/2000,Thursday,Feast of Saint Peter and Saint Paul,Observance
03/07/2000,Monday,Sacred Heart,National holiday
03/07/2000,Monday,Feast of Saint Peter and Saint Paul,National holiday
20/07/2000,Thursday,Independence Day,National holiday
07/08/2000,Monday,Battle of Boyacá Day,National holiday
15/08/2000,Tuesday,Assumption of Mary,Observance
21/08/2000,Monday,Assumption of Mary,National holiday
16/09/2000,Saturday,Valentine's Day,Observance
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Columbus Day,Observance
16/10/2000,Monday,Columbus Day,National holiday
31/10/2000,Tuesday,Halloween,Observance
01/11/2000,Wednesday,All Saints' Day,Observance
06/11/2000,Monday,All Saints' Day,National holiday
11/11/2000,Saturday,Independence of Cartagena,Observance
13/11/2000,Monday,Independence of Cartagena,National holiday
14/11/2000,Tuesday,Colombian Women's Day,Observance
07/12/2000,Thursday,Eve of the Feast of the Immaculate Conception,Observance
08/12/2000,Friday,Feast of the Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,Observance
08/01/2001,Monday,Epiphany,National holiday
08/03/2001,Thursday,Women's Day,Observance
19/03/2001,Monday,Saint Joseph's Day,National holiday
19/03/2001,Monday,Saint Joseph's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
08/04/2001,Sunday,Palm Sunday,"Observance, Christian"
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
23/04/2001,Monday,Language Day,Observance
26/04/2001,Thursday,Secretaries' Day,Observance
28/04/2001,Saturday,Children's Day,Observance
29/04/2001,Sunday,Day of Trees,Observance
01/05/2001,Tuesday,Labor Day / May Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
15/05/2001,Tuesday,Teacher's Day,Observance
28/05/2001,Monday,Ascension Day,National holiday
14/06/2001,Thursday,Corpus Christi,Observance
17/06/2001,Sunday,Father's Day,Observance
18/06/2001,Monday,Corpus Christi,National holiday
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Sacred Heart,National holiday
29/06/2001,Friday,Feast of Saint Peter and Saint Paul,Observance
02/07/2001,Monday,Feast of Saint Peter and Saint Paul,National holiday
20/07/2001,Friday,Independence Day,National holiday
07/08/2001,Tuesday,Battle of Boyacá Day,National holiday
15/08/2001,Wednesday,Assumption of Mary,Observance
20/08/2001,Monday,Assumption of Mary,National holiday
15/09/2001,Saturday,Valentine's Day,Observance
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Columbus Day,Observance
15/10/2001,Monday,Columbus Day,National holiday
31/10/2001,Wednesday,Halloween,Observance
01/11/2001,Thursday,All Saints' Day,Observance
05/11/2001,Monday,All Saints' Day,National holiday
11/11/2001,Sunday,Independence of Cartagena,Observance
12/11/2001,Monday,Independence of Cartagena,National holiday
14/11/2001,Wednesday,Colombian Women's Day,Observance
07/12/2001,Friday,Eve of the Feast of the Immaculate Conception,Observance
08/12/2001,Saturday,Feast of the Immaculate Conception,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,Epiphany,Observance
07/01/2002,Monday,Epiphany,National holiday
08/03/2002,Friday,Women's Day,Observance
19/03/2002,Tuesday,Saint Joseph's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Palm Sunday,"Observance, Christian"
25/03/2002,Monday,Saint Joseph's Day,National holiday
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
23/04/2002,Tuesday,Language Day,Observance
26/04/2002,Friday,Secretaries' Day,Observance
27/04/2002,Saturday,Children's Day,Observance
29/04/2002,Monday,Day of Trees,Observance
01/05/2002,Wednesday,Labor Day / May Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
13/05/2002,Monday,Ascension Day,National holiday
15/05/2002,Wednesday,Teacher's Day,Observance
30/05/2002,Thursday,Corpus Christi,Observance
03/06/2002,Monday,Corpus Christi,National holiday
10/06/2002,Monday,Sacred Heart,National holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
29/06/2002,Saturday,Feast of Saint Peter and Saint Paul,Observance
01/07/2002,Monday,Feast of Saint Peter and Saint Paul,National holiday
20/07/2002,Saturday,Independence Day,National holiday
07/08/2002,Wednesday,Battle of Boyacá Day,National holiday
15/08/2002,Thursday,Assumption of Mary,Observance
19/08/2002,Monday,Assumption of Mary,National holiday
21/09/2002,Saturday,Valentine's Day,Observance
22/09/2002,Sunday,September Equinox,Season
12/10/2002,Saturday,Columbus Day,Observance
14/10/2002,Monday,Columbus Day,National holiday
31/10/2002,Thursday,Halloween,Observance
01/11/2002,Friday,All Saints' Day,Observance
04/11/2002,Monday,All Saints' Day,National holiday
11/11/2002,Monday,Independence of Cartagena,National holiday
11/11/2002,Monday,Independence of Cartagena,Observance
14/11/2002,Thursday,Colombian Women's Day,Observance
07/12/2002,Saturday,Eve of the Feast of the Immaculate Conception,Observance
08/12/2002,Sunday,Feast of the Immaculate Conception,National holiday
21/12/2002,Saturday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,Epiphany,National holiday
06/01/2003,Monday,Epiphany,Observance
08/03/2003,Saturday,Women's Day,Observance
19/03/2003,Wednesday,Saint Joseph's Day,Observance
20/03/2003,Thursday,March Equinox,Season
24/03/2003,Monday,Saint Joseph's Day,National holiday
13/04/2003,Sunday,Palm Sunday,"Observance, Christian"
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
23/04/2003,Wednesday,Language Day,Observance
26/04/2003,Saturday,Secretaries' Day,Observance
26/04/2003,Saturday,Children's Day,Observance
29/04/2003,Tuesday,Day of Trees,Observance
01/05/2003,Thursday,Labor Day / May Day,National holiday
11/05/2003,Sunday,Mother's Day,Observance
15/05/2003,Thursday,Teacher's Day,Observance
02/06/2003,Monday,Ascension Day,National holiday
15/06/2003,Sunday,Father's Day,Observance
19/06/2003,Thursday,Corpus Christi,Observance
21/06/2003,Saturday,June Solstice,Season
23/06/2003,Monday,Corpus Christi,National holiday
29/06/2003,Sunday,Feast of Saint Peter and Saint Paul,Observance
30/06/2003,Monday,Sacred Heart,National holiday
30/06/2003,Monday,Feast of Saint Peter and Saint Paul,National holiday
20/07/2003,Sunday,Independence Day,National holiday
07/08/2003,Thursday,Battle of Boyacá Day,National holiday
15/08/2003,Friday,Assumption of Mary,Observance
18/08/2003,Monday,Assumption of Mary,National holiday
20/09/2003,Saturday,Valentine's Day,Observance
23/09/2003,Tuesday,September Equinox,Season
12/10/2003,Sunday,Columbus Day,Observance
13/10/2003,Monday,Columbus Day,National holiday
31/10/2003,Friday,Halloween,Observance
01/11/2003,Saturday,All Saints' Day,Observance
03/11/2003,Monday,All Saints' Day,National holiday
11/11/2003,Tuesday,Independence of Cartagena,Observance
14/11/2003,Friday,Colombian Women's Day,Observance
17/11/2003,Monday,Independence of Cartagena,National holiday
07/12/2003,Sunday,Eve of the Feast of the Immaculate Conception,Observance
08/12/2003,Monday,Feast of the Immaculate Conception,National holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,Observance
25/12/2003,Thursday,Christmas Day,"National holiday, Christian"
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
06/01/2004,Tuesday,Epiphany,Observance
12/01/2004,Monday,Epiphany,National holiday
08/03/2004,Monday,Women's Day,Observance
19/03/2004,Friday,Saint Joseph's Day,Observance
20/03/2004,Saturday,March Equinox,Season
22/03/2004,Monday,Saint Joseph's Day,National holiday
04/04/2004,Sunday,Palm Sunday,"Observance, Christian"
08/04/2004,Thursday,Maundy Thursday,"National holiday, Christian"
09/04/2004,Friday,Good Friday,"National holiday, Christian"
11/04/2004,Sunday,Easter Sunday,"Observance, Christian"
23/04/2004,Friday,Language Day,Observance
24/04/2004,Saturday,Children's Day,Observance
26/04/2004,Monday,Secretaries' Day,Observance
29/04/2004,Thursday,Day of Trees,Observance
01/05/2004,Saturday,Labor Day / May Day,National holiday
09/05/2004,Sunday,Mother's Day,Observance
15/05/2004,Saturday,Teacher's Day,Observance
24/05/2004,Monday,Ascension Day,National holiday
10/06/2004,Thursday,Corpus Christi,Observance
14/06/2004,Monday,Corpus Christi,National holiday
20/06/2004,Sunday,Father's Day,Observance
20/06/2004,Sunday,June Solstice,Season
21/06/2004,Monday,Sacred Heart,National holiday
29/06/2004,Tuesday,Feast of Saint Peter and Saint Paul,Observance
05/07/2004,Monday,Feast of Saint Peter and Saint Paul,National holiday
20/07/2004,Tuesday,Independence Day,National holiday
07/08/2004,Saturday,Battle of Boyacá Day,National holiday
