Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,Day off for New Year's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Early May Bank Holiday,Public Holiday
09/05/2000,Tuesday,Liberation Day,Public Holiday
29/05/2000,Monday,Spring Bank Holiday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
28/08/2000,Monday,Summer Bank Holiday,Public Holiday
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
07/05/2001,Monday,Early May Bank Holiday,Public Holiday
09/05/2001,Wednesday,Liberation Day,Public Holiday
28/05/2001,Monday,Spring Bank Holiday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
27/08/2001,Monday,Summer Bank Holiday,Public Holiday
23/09/2001,Sunday,September Equinox,Season
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
31/03/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2002,Monday,Easter Monday,Public Holiday
06/05/2002,Monday,Early May Bank Holiday,Public Holiday
09/05/2002,Thursday,Liberation Day,Public Holiday
27/05/2002,Monday,Spring Bank Holiday,Public Holiday
21/06/2002,Friday,June Solstice,Season
26/08/2002,Monday,Summer Bank Holiday,Public Holiday
23/09/2002,Monday,September Equinox,Season
27/10/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
05/05/2003,Monday,Early May Bank Holiday,Public Holiday
09/05/2003,Friday,Liberation Day,Public Holiday
26/05/2003,Monday,Spring Bank Holiday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
25/08/2003,Monday,Summer Bank Holiday,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
26/10/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
28/03/2004,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
03/05/2004,Monday,Early May Bank Holiday,Public Holiday
09/05/2004,Sunday,Liberation Day,Observance
31/05/2004,Monday,Spring Bank Holiday,Public Holiday
21/06/2004,Monday,June Solstice,Season
30/08/2004,Monday,Summer Bank Holiday,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
31/10/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
27/12/2004,Monday,Day off for Christmas Day,Public Holiday
28/12/2004,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
03/01/2005,Monday,Day off for New Year's Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
27/03/2005,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2005,Monday,Easter Monday,Public Holiday
02/05/2005,Monday,Early May Bank Holiday,Public Holiday
09/05/2005,Monday,Liberation Day,Public Holiday
30/05/2005,Monday,Spring Bank Holiday,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
29/08/2005,Monday,Summer Bank Holiday,Public Holiday
22/09/2005,Thursday,September Equinox,Season
30/10/2005,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2005,Wednesday,December Solstice,Season
