Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,State Holiday
08/01/2000,Saturday,Hari Raya Puasa,Federal Public Holiday
09/01/2000,Sunday,Hari Raya Puasa Day 2,Federal Public Holiday
01/02/2000,Tuesday,Federal Territory Day,Federal Territory Holiday
05/02/2000,Saturday,Lunar New Year's Day,Federal Public Holiday
06/02/2000,Sunday,Second Day of Lunar New Year,Federal Public Holiday
06/02/2000,Sunday,Lunar New Year Holiday,State Holiday
16/03/2000,Thursday,Hari Raya Haji,Federal Public Holiday
17/03/2000,Friday,Hari Raya Haji (Day 2),Common local holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram/New Year,Federal Public Holiday
15/04/2000,Saturday,Declaration of Malacca as Historical City,State Holiday
21/04/2000,Friday,Good Friday,State Holiday
23/04/2000,Sunday,Easter Sunday,Observance
26/04/2000,Wednesday,Birthday of the Sultan of Terengganu,State Holiday
01/05/2000,Monday,Labour Day,Federal Public Holiday
07/05/2000,Sunday,Pahang State Holiday,State Holiday
08/05/2000,Monday,Pahang State Holiday observed,State Holiday
17/05/2000,Wednesday,Birthday of the Raja of Perlis,Local holiday
01/06/2000,Thursday,Gawai Dayak,State Holiday
03/06/2000,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
15/06/2000,Thursday,The Prophet Muhammad's Birthday,Federal Public Holiday
21/06/2000,Wednesday,June Solstice,Season
08/07/2000,Saturday,Penang Governor's Birthday,State Holiday
22/07/2000,Saturday,Sarawak Independence Day,State Holiday
31/08/2000,Thursday,Malaysia's National Day,Federal Public Holiday
23/09/2000,Saturday,September Equinox,Season
07/10/2000,Saturday,Birthday of the Governor of Sabah,State Holiday
13/10/2000,Friday,Birthday of the Governor of Malacca,State Holiday
14/10/2000,Saturday,Birthday of the Governor of Sarawak,State Holiday
24/10/2000,Tuesday,Birthday of the Sultan of Pahang,State Holiday
26/10/2000,Thursday,Isra and Mi'raj,State Holiday
28/11/2000,Tuesday,First Day of Ramadan,State Holiday
14/12/2000,Thursday,Nuzul Al-Quran,State Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Federal Public Holiday
28/12/2000,Thursday,Hari Raya Puasa,Federal Public Holiday
29/12/2000,Friday,Hari Raya Puasa Day 2,Federal Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,State Holiday
24/01/2001,Wednesday,Lunar New Year's Day,Federal Public Holiday
25/01/2001,Thursday,Second Day of Lunar New Year,Federal Public Holiday
25/01/2001,Thursday,Lunar New Year Holiday,State Holiday
01/02/2001,Thursday,Federal Territory Day,Federal Territory Holiday
06/03/2001,Tuesday,Hari Raya Haji,Federal Public Holiday
07/03/2001,Wednesday,Hari Raya Haji (Day 2),Common local holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram/New Year,Federal Public Holiday
13/04/2001,Friday,Good Friday,State Holiday
15/04/2001,Sunday,Easter Sunday,Observance
15/04/2001,Sunday,Declaration of Malacca as Historical City,State Holiday
16/04/2001,Monday,Declaration of Malacca as Historical City observed,State Holiday
26/04/2001,Thursday,Birthday of the Sultan of Terengganu,State Holiday
01/05/2001,Tuesday,Labour Day,Federal Public Holiday
07/05/2001,Monday,Pahang State Holiday,State Holiday
17/05/2001,Thursday,Birthday of the Raja of Perlis,Local holiday
01/06/2001,Friday,Gawai Dayak,State Holiday
02/06/2001,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
04/06/2001,Monday,The Prophet Muhammad's Birthday,Federal Public Holiday
21/06/2001,Thursday,June Solstice,Season
14/07/2001,Saturday,Penang Governor's Birthday,State Holiday
22/07/2001,Sunday,Sarawak Independence Day,State Holiday
