Date,Day,Name,Type
01/01/2005,Saturday,New Year's Day,Bank holiday
21/01/2005,Friday,Eid al-Adha (Feast of Sacrifice),Public holiday
06/03/2005,Sunday,March bank holiday,Bank holiday
20/03/2005,Sunday,March Equinox,Season
21/06/2005,Tuesday,June Solstice,Season
03/09/2005,Saturday,National Day,Public holiday
23/09/2005,Friday,September Equinox,Season
04/11/2005,Friday,Eid al-Fitr,Public holiday
05/11/2005,Saturday,Eid al-Fitr Holiday,Public holiday
06/11/2005,Sunday,Eid al-Fitr Holiday,Public holiday
21/12/2005,Wednesday,December Solstice,Season
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,Bank holiday
10/01/2006,Tuesday,Eid al-Adha (Feast of Sacrifice),Public holiday
05/03/2006,Sunday,March bank holiday,Bank holiday
20/03/2006,Monday,March Equinox,Season
21/06/2006,Wednesday,June Solstice,Season
03/09/2006,Sunday,National Day,Public holiday
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid al-Fitr,Public holiday
25/10/2006,Wednesday,Eid al-Fitr Holiday,Public holiday
26/10/2006,Thursday,Eid al-Fitr Holiday,Public holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,New Year's Eve,Observance
31/12/2006,Sunday,Eid al-Adha (Feast of Sacrifice),Public holiday
01/01/2007,Monday,New Year's Day,Bank holiday
04/03/2007,Sunday,March bank holiday,Bank holiday
21/03/2007,Wednesday,March Equinox,Season
21/06/2007,Thursday,June Solstice,Season
03/09/2007,Monday,National Day,Public holiday
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid al-Fitr,Public holiday
14/10/2007,Sunday,Eid al-Fitr Holiday,Public holiday
15/10/2007,Monday,Eid al-Fitr Holiday,Public holiday
20/12/2007,Thursday,Eid al-Adha (Feast of Sacrifice),Public holiday
22/12/2007,Saturday,December Solstice,Season
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,Bank holiday
02/03/2008,Sunday,March bank holiday,Bank holiday
20/03/2008,Thursday,March Equinox,Season
21/06/2008,Saturday,June Solstice,Season
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid al-Fitr,Public holiday
03/10/2008,Friday,Eid al-Fitr Holiday,Public holiday
04/10/2008,Saturday,Eid al-Fitr Holiday,Public holiday
09/12/2008,Tuesday,Eid al-Adha (Feast of Sacrifice),Public holiday
18/12/2008,Thursday,National Day,Public holiday
21/12/2008,Sunday,December Solstice,Season
31/12/2008,Wednesday,New Year's Eve,Observance
01/01/2009,Thursday,New Year's Day,Bank holiday
01/03/2009,Sunday,March bank holiday,Bank holiday
20/03/2009,Friday,March Equinox,Season
21/06/2009,Sunday,June Solstice,Season
21/09/2009,Monday,Eid al-Fitr,Public holiday
22/09/2009,Tuesday,Eid al-Fitr Holiday,Public holiday
23/09/2009,Wednesday,Eid al-Fitr Holiday,Public holiday
23/09/2009,Wednesday,September Equinox,Season
28/11/2009,Saturday,Eid al-Adha (Feast of Sacrifice),Public holiday
18/12/2009,Friday,National Day,Public holiday
21/12/2009,Monday,December Solstice,Season
31/12/2009,Thursday,New Year's Eve,Observance
01/01/2010,Friday,New Year's Day,Bank holiday
07/03/2010,Sunday,March bank holiday,Bank holiday
20/03/2010,Saturday,March Equinox,Season
21/06/2010,Monday,June Solstice,Season
10/09/2010,Friday,Eid al-Fitr,Public holiday
11/09/2010,Saturday,Eid al-Fitr Holiday,Public holiday
12/09/2010,Sunday,Eid al-Fitr Holiday,Public holiday
23/09/2010,Thursday,September Equinox,Season
15/11/2010,Monday,Eid al-Adha (Feast of Sacrifice),Public holiday
16/11/2010,Tuesday,Eid al-Adha Holiday,Public holiday
17/11/2010,Wednesday,Eid al-Adha Holiday,Public holiday
18/12/2010,Saturday,National Day,Public holiday
22/12/2010,Wednesday,December Solstice,Season
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,Bank holiday
06/03/2011,Sunday,March bank holiday,Bank holiday
21/03/2011,Monday,March Equinox,Season
21/06/2011,Tuesday,June Solstice,Season
31/08/2011,Wednesday,Eid al-Fitr,Public holiday
01/09/2011,Thursday,Eid al-Fitr Holiday,Public holiday
02/09/2011,Friday,Eid al-Fitr Holiday,Public holiday
23/09/2011,Friday,September Equinox,Season
06/11/2011,Sunday,Eid al-Adha (Feast of Sacrifice),Public holiday
07/11/2011,Monday,Eid al-Adha Holiday,Public holiday
08/11/2011,Tuesday,Eid al-Adha Holiday,Public holiday
18/12/2011,Sunday,National Day,Public holiday
22/12/2011,Thursday,December Solstice,Season
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,Bank holiday
14/02/2012,Tuesday,National Sports Day,Public holiday
04/03/2012,Sunday,March bank holiday,Bank holiday
20/03/2012,Tuesday,March Equinox,Season
21/06/2012,Thursday,June Solstice,Season
19/08/2012,Sunday,Eid al-Fitr,Public holiday
20/08/2012,Monday,Eid al-Fitr Holiday,Public holiday
21/08/2012,Tuesday,Eid al-Fitr Holiday,Public holiday
22/09/2012,Saturday,September Equinox,Season
26/10/2012,Friday,Eid al-Adha (Feast of Sacrifice),Public holiday
18/12/2012,Tuesday,National Day,Public holiday
21/12/2012,Friday,December Solstice,Season
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Bank holiday
12/02/2013,Tuesday,National Sports Day,Public holiday
03/03/2013,Sunday,March bank holiday,Bank holiday
20/03/2013,Wednesday,March Equinox,Season
21/06/2013,Friday,June Solstice,Season
08/08/2013,Thursday,Eid al-Fitr,Public holiday
09/08/2013,Friday,Eid al-Fitr Holiday,Public holiday
10/08/2013,Saturday,Eid al-Fitr Holiday,Public holiday
22/09/2013,Sunday,September Equinox,Season
15/10/2013,Tuesday,Eid al-Adha (Feast of Sacrifice),Public holiday
18/12/2013,Wednesday,National Day,Public holiday
21/12/2013,Saturday,December Solstice,Season
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Bank holiday
11/02/2014,Tuesday,National Sports Day,Public holiday
02/03/2014,Sunday,March bank holiday,Bank holiday
20/03/2014,Thursday,March Equinox,Season
21/06/2014,Saturday,June Solstice,Season
28/07/2014,Monday,Eid al-Fitr,Public holiday
29/07/2014,Tuesday,Eid al-Fitr Holiday,Public holiday
30/07/2014,Wednesday,Eid al-Fitr Holiday,Public holiday
23/09/2014,Tuesday,September Equinox,Season
03/10/2014,Friday,Eid al-Adha Holiday,Public holiday
04/10/2014,Saturday,Eid al-Adha (Feast of Sacrifice),Public holiday
05/10/2014,Sunday,Eid al-Adha Holiday,Public holiday
06/10/2014,Monday,Eid al-Adha Holiday,Public holiday
07/10/2014,Tuesday,Eid al-Adha Holiday,Public holiday
08/10/2014,Wednesday,Eid al-Adha Holiday,Bank holiday
09/10/2014,Thursday,Eid al-Adha Holiday,Bank holiday
10/10/2014,Friday,Eid al-Adha Holiday,Bank holiday
11/10/2014,Saturday,Eid al-Adha Holiday,Bank holiday
18/12/2014,Thursday,National Day,Public holiday
22/12/2014,Monday,December Solstice,Season
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Bank holiday
10/02/2015,Tuesday,National Sports Day,Public holiday
01/03/2015,Sunday,March bank holiday,Bank holiday
21/03/2015,Saturday,March Equinox,Season
21/06/2015,Sunday,June Solstice,Season
15/07/2015,Wednesday,Eid al-Fitr Holiday,Public Sector Holiday
16/07/2015,Thursday,Eid al-Fitr Holiday,Public Sector Holiday
17/07/2015,Friday,Eid al-Fitr Holiday,Public Sector Holiday
18/07/2015,Saturday,Eid al-Fitr,Public holiday
19/07/2015,Sunday,Eid al-Fitr Holiday,Public holiday
20/07/2015,Monday,Eid al-Fitr Holiday,Public holiday
21/07/2015,Tuesday,Eid al-Fitr Holiday,Public Sector Holiday
22/07/2015,Wednesday,Eid al-Fitr Holiday,Public Sector Holiday
23/07/2015,Thursday,Eid al-Fitr Holiday,Public Sector Holiday
24/07/2015,Friday,Eid al-Fitr Holiday,Public Sector Holiday
25/07/2015,Saturday,Eid al-Fitr Holiday,Public Sector Holiday
23/09/2015,Wednesday,Eid al-Adha (Feast of Sacrifice),Public holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha Holiday,Public holiday
25/09/2015,Friday,Eid al-Adha Holiday,Public holiday
26/09/2015,Saturday,Eid al-Adha Holiday,Public holiday
27/09/2015,Sunday,Eid al-Adha Holiday,Public holiday
28/09/2015,Monday,Eid al-Adha Holiday,Bank holiday
29/09/2015,Tuesday,Eid al-Adha Holiday,Bank holiday
18/12/2015,Friday,National Day,Public holiday
20/12/2015,Sunday,National Day observed,Public holiday
22/12/2015,Tuesday,December Solstice,Season
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,Bank holiday
09/02/2016,Tuesday,National Sports Day,Public holiday
06/03/2016,Sunday,March bank holiday,Bank holiday
20/03/2016,Sunday,March Equinox,Season
21/06/2016,Tuesday,June Solstice,Season
06/07/2016,Wednesday,Eid al-Fitr,Public holiday
07/07/2016,Thursday,Eid al-Fitr Holiday,Public holiday
08/07/2016,Friday,Eid al-Fitr Holiday,Public holiday
09/09/2016,Friday,Eid al-Adha Holiday,Public holiday
10/09/2016,Saturday,Eid al-Adha (Feast of Sacrifice),Public holiday
11/09/2016,Sunday,Eid al-Adha Holiday,Public holiday
12/09/2016,Monday,Eid al-Adha Holiday,Public holiday
13/09/2016,Tuesday,Eid al-Adha Holiday,Public holiday
14/09/2016,Wednesday,Eid al-Adha Holiday,Bank holiday
15/09/2016,Thursday,Eid al-Adha Holiday,Bank holiday
16/09/2016,Friday,Eid al-Adha Holiday,Bank holiday
17/09/2016,Saturday,Eid al-Adha Holiday,Bank holiday
22/09/2016,Thursday,September Equinox,Season
18/12/2016,Sunday,National Day,Public holiday
21/12/2016,Wednesday,December Solstice,Season
31/12/2016,Saturday,New Year's Eve,Observance
01/01/2017,Sunday,New Year's Day,Bank holiday
14/02/2017,Tuesday,National Sports Day,Public holiday
05/03/2017,Sunday,March bank holiday,Bank holiday
20/03/2017,Monday,March Equinox,Season
21/06/2017,Wednesday,June Solstice,Season
25/06/2017,Sunday,Eid al-Fitr,Public holiday
26/06/2017,Monday,Eid al-Fitr Holiday,Public holiday
26/06/2017,Monday,Eid al-Fitr Holiday,Public holiday
