Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
08/05/2000,Monday,Victory Day,Public Holiday
01/06/2000,Thursday,Ascension Day,Public Holiday
11/06/2000,Sunday,Whit Sunday,Observance
12/06/2000,Monday,Whit Monday,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
14/07/2000,Friday,French National Day,Public Holiday
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
23/09/2000,Saturday,September Equinox,Season
24/09/2000,Sunday,New Caledonia Day,Public Holiday
01/11/2000,Wednesday,All Saints' Day,Public Holiday
11/11/2000,Saturday,Armistice Day,Public Holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Observance
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
08/05/2001,Tuesday,Victory Day,Public Holiday
24/05/2001,Thursday,Ascension Day,Public Holiday
03/06/2001,Sunday,Whit Sunday,Observance
04/06/2001,Monday,Whit Monday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
14/07/2001,Saturday,French National Day,Public Holiday
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
23/09/2001,Sunday,September Equinox,Season
24/09/2001,Monday,New Caledonia Day,Public Holiday
01/11/2001,Thursday,All Saints' Day,Public Holiday
11/11/2001,Sunday,Armistice Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Observance
31/03/2002,Sunday,Easter Sunday,Observance
