Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Restricted Holiday
08/01/2000,Saturday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
15/01/2000,Saturday,Pongal,Restricted Holiday
15/01/2000,Saturday,Makar Sankranti,Restricted Holiday
26/01/2000,Wednesday,Republic Day,Gazetted Holiday
05/02/2000,Saturday,Lunar New Year,Observance
10/02/2000,Thursday,Vasant Panchami,Restricted Holiday
14/02/2000,Monday,Valentine's Day,Observance
04/03/2000,Saturday,Maha Shivaratri/Shivaratri,Gazetted Holiday
16/03/2000,Thursday,Bakrid/Eid ul-Adha,Gazetted Holiday
20/03/2000,Monday,Holi,Restricted Holiday
20/03/2000,Monday,March Equinox,Season
05/04/2000,Wednesday,Ugadi,Restricted Holiday
05/04/2000,Wednesday,Gudi Padwa,Restricted Holiday
12/04/2000,Wednesday,Rama Navami,Gazetted Holiday
20/04/2000,Thursday,First day of Passover,Observance
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,Gazetted Holiday
23/04/2000,Sunday,Easter Day,Restricted Holiday
01/05/2000,Monday,International Worker's Day,Observance
08/05/2000,Monday,Birthday of Rabindranath,Restricted Holiday
14/05/2000,Sunday,Mother's Day,Observance
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
03/07/2000,Monday,Rath Yatra,Restricted Holiday
06/08/2000,Sunday,Friendship Day,Observance
15/08/2000,Tuesday,Independence Day,Gazetted Holiday
15/08/2000,Tuesday,Raksha Bandhan (Rakhi),Restricted Holiday
23/08/2000,Wednesday,Janmashtami,Gazetted Holiday
23/08/2000,Wednesday,Janmashtami (Smarta),Observance
01/09/2000,Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
10/09/2000,Sunday,Onam,Restricted Holiday
22/09/2000,Friday,September Equinox,Season
28/09/2000,Thursday,First Day of Sharad Navratri,"Observance, Hinduism"
02/10/2000,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday
03/10/2000,Tuesday,First Day of Durga Puja Festivities,"Observance, Hinduism"
07/10/2000,Saturday,Dussehra,Gazetted Holiday
16/10/2000,Monday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
26/10/2000,Thursday,Diwali/Deepavali,Gazetted Holiday
